,epoch,loss_train,mse_train,mse_dev,mse_test,mae_train,mae_dev,mae_test,mre_train,mre_dev,mre_test,pred_mean_train,pred_mean_dev,pred_mean_test,pred_std_train,pred_std_dev,pred_std_test
0,1,243.97315470377603,79882.37231814,81808.14770013276,78218.05570107515,243.45002756917478,245.9720307043642,240.15090347969533,0.95971183063506,0.956016011861818,0.9571705266164365,4.685470868388812,4.6653174046278,4.68101551091671,1.1807831276836755,1.1924275542938434,1.1663896278659676
0,2,241.98353576660156,78612.19778356509,80523.03128206407,76951.24956610924,240.9187331287066,243.45357420621812,237.59524471855164,0.9466140771622049,0.9441475381636627,0.9386358288377343,7.241998297373454,7.217098770737648,7.249915260314942,1.8105989888396807,1.8290779747152195,1.7904096074181186
0,3,239.12052408854166,76848.92856612352,78738.09386438683,75198.60400727978,237.36589572044213,239.91174858962,234.00646602892877,0.9316866604354587,0.9299494480205591,0.9139319527982325,10.84948783314228,10.821554833769799,10.86880146241188,2.598452665369976,2.624373142595948,2.5669738767481722
0,4,235.23685709635416,74537.74828755656,76395.97964359335,72901.00075713801,232.67338609933853,235.22866295979918,229.2815710308552,0.9196349380835206,0.9177397098319666,0.8899543259937551,15.67193799217542,15.642210500240326,15.710583114862443,3.6096369519363956,3.645206020842676,3.565662477507029
0,5,229.95262145996094,71533.36999917321,73352.65130624182,69913.72203396687,226.52686086265246,229.09322778557242,223.10208650970458,0.9131825252983609,0.9097353831832963,0.8670379672276168,22.096869578202565,22.057916605234148,22.16021603155136,4.958715194179348,5.004296954508952,4.897923740105256
0,6,223.1401570638021,67655.48998811755,69418.83200371558,66060.52732424634,218.53010061558086,221.1519592397064,215.13773362874986,0.9157311250800544,0.91168161489058,0.8509308314314298,30.66688036473592,30.61965772294998,30.759683521270752,6.767660498228723,6.835258960533195,6.683393602669593
0,7,214.18647257486978,62684.601963845016,64376.640016035744,61125.646174347006,208.20035799034437,210.9826516392082,204.906303337574,0.9342542677602175,0.9325853392045278,0.8468579264412969,42.19285622342428,42.124877683639525,42.31907120227814,9.223765589929624,9.316877958786069,9.100642978618195
0,8,202.59649149576822,56447.24433510968,58048.12451111648,54942.65900851596,195.24427705121042,198.1631077015251,192.13785119628906,0.9798281465207339,0.9806246051319374,0.8648342448789428,57.66191747395197,57.55633482170105,57.818571724414824,12.545260044186486,12.668214668785831,12.364748290179266
0,9,189.1138661702474,48903.73384580956,50386.220290618694,47477.08621455743,179.6311209437847,182.60913809798657,176.66067328977584,1.0689786857013364,1.0707942021102625,0.9160589982677448,78.30601741123199,78.13889537525176,78.49662420463562,17.008799544499254,17.161517973773318,16.750558173247008
0,10,172.11426798502603,40287.12854016158,41605.180820082016,38965.90457827007,161.89451848959922,164.92441808627547,159.08085420370102,1.2232222848660124,1.226942094597767,1.0202192357692557,105.65241999880473,105.39837687301636,105.88596347808839,22.945516099442234,23.139406626312653,22.579901832714704
0,11,155.21636962890625,31441.875977464373,32534.214262949565,30258.298639164863,143.9813558175564,146.84733063243328,141.1292194914818,1.4701903817012683,1.4756044313745398,1.1993326229078938,141.17222877375283,140.7983623485565,141.45387775802612,30.68706797025825,30.92848615779902,30.173884256715358
0,12,138.0711466471354,24130.948215357417,24923.52116288876,23125.395146398943,129.41707397564252,131.82497552417217,126.74590856122971,1.829127144707373,1.8354977813233322,1.4760800626685353,185.3242243315379,184.79134601974488,185.6502591114044,40.25195177998489,40.54687900631905,39.54912485827949
0,13,129.09424845377603,20765.36921438936,21196.86998444061,19972.04238790094,123.43622194075584,124.64735280536115,120.90203901052475,2.27097148693055,2.2753660297748532,1.8322616030043377,234.75295604197186,234.06176439285278,235.15371520614625,50.87862202158803,51.23991288639063,49.95915884025939
0,14,129.12256368001303,21427.763065787596,21588.212428518873,20779.772390773167,125.608403033336,125.96529424212873,123.4114052939415,2.58351565092208,2.587140670716743,2.096597569614799,269.9625085589091,269.1332123527527,270.39157251739505,58.82694546831345,59.24463180719918,57.728861122973875
0,15,133.05199178059897,21520.386621700047,21662.221677253165,20871.51598137583,125.79414358687401,126.15408174823224,123.56841565084457,2.5639883737098996,2.569163545881245,2.0914796202338124,272.8775768585205,271.9932714576721,273.2627510948181,60.11072312529857,60.546566081703105,58.961391606778726
0,16,131.8013661702474,20615.410790851718,20914.628706558055,19884.597891303572,123.35786702640851,124.05291471789778,120.90994440221786,2.332450436247656,2.3388754430056364,1.9114769195297119,254.0020729268392,253.15542805862427,254.33455032348633,56.528468958029855,56.95490941341082,55.42526166262567
0,17,127.41991170247395,20580.449594156707,21073.281754730844,19752.36139909834,122.53375515850385,124.02109445498884,119.98245934057236,2.06484087352562,2.0741980957448267,1.7022908623471753,229.66925064786275,228.90124326324462,229.9693885269165,51.59287992913061,52.00033461385647,50.572566275749054
0,18,125.82122294108073,21436.440984146095,22080.1178395001,20532.21476678689,123.75233258605003,125.65915695689618,121.14643328809738,1.8531240788482741,1.86461076922967,1.5396644037502556,210.12692361068724,209.43190651130675,210.41416923713683,47.6450841542771,48.04187141005208,46.68302825712428
0,19,126.4041010538737,22229.348689371545,22956.59056539627,21281.068504341532,125.0752567199866,127.22093924449385,122.48901319456101,1.7214733834772769,1.7346580594694816,1.4423489401070175,199.1863808256785,198.525903924942,199.45907975578308,45.657752881882686,46.057694317491894,44.71682742378081
0,20,126.68845876057942,22347.970797063826,23095.881251284118,21388.572849240092,125.12814295363427,127.3541907760948,122.56988059949875,1.661512543922204,1.6762012209893706,1.4028672224668726,196.98806398010254,196.32920538330077,197.24595690345765,45.70463271307608,46.1251315673181,44.75096863420615
0,21,125.58542124430339,21820.76729915196,22541.8933651994,20874.867678271963,123.9569689048926,126.12221601222456,121.38712239980697,1.6533204575049407,1.6695569540651412,1.4054574640104829,201.71920016288757,201.03338783836364,201.95442572402953,47.416796831259624,47.87151669448275,46.42077279392307
0,22,124.5761210123698,20942.087218784916,21597.930711284716,20027.048823552803,122.13044320845604,124.12635236667097,119.59134357213973,1.6838514349643972,1.7019307197825175,1.4406258731149015,212.03206749471028,211.28987158966063,212.238230758667,50.57646468676844,51.07898637512584,49.519861641173065
0,23,123.44523366292317,20247.326042481964,20827.741970724182,19364.483183190667,120.7790225376288,122.59113730548322,118.23059929609299,1.7173326623505927,1.7382683193794923,1.479598129211252,223.12502495447794,222.3473200416565,223.31881177711486,54.01188645282043,54.56994773225608,52.89226142641462
0,24,123.63475545247395,19895.248587878825,20425.4418928215,19029.473915813844,120.06555690487225,121.69464372943342,117.48931769895553,1.7209702136672091,1.744351935106514,1.4938131904762828,230.47278980318706,229.68355350112915,230.64974771690368,56.636780375474025,57.248695639157305,55.47005138539323
0,25,122.23690795898438,19806.6695229583,20346.507069938445,18930.191744630876,119.65835442264874,121.33406593631209,117.07467833662034,1.6640059238624076,1.6894128708195344,1.4552049111804544,229.55843667348225,228.79553723907472,229.70392395210266,57.28251407688295,57.93228221835465,56.11891885865691
0,26,121.94954681396484,19953.0546340882,20548.43250149233,19044.27372552558,119.52224724173546,121.40268922923505,116.93418359518051,1.5598238969128106,1.5870704060955936,1.3749381048518363,222.0327325077057,221.33637747383116,222.15070383071898,56.44605746836609,57.117111048303684,55.32552792765077
0,27,120.31718190511067,20249.021302127487,20901.970118803652,19304.4607451941,119.6607335790793,121.7218533489555,117.02644116353989,1.4539500501758078,1.4822186700414632,1.292183858446602,213.86598837884267,213.24435842704773,213.96885709762574,55.5652465158673,56.2591229185981,54.499520493025805
0,28,120.57425689697266,20480.596286405853,21167.285475505105,19501.748799235444,119.71245913068454,121.86167006991803,117.02233974218369,1.3667265272330935,1.3950345965969884,1.2246450122511767,208.2189949795405,207.66876026916503,208.3095652923584,55.465376152637205,56.20244328963249,54.46761246353285
0,29,120.08009592692058,20375.854997831502,21062.695777481473,19382.80899609489,119.13174802788099,121.29288461802899,116.3889039568901,1.3095193160463634,1.3382483887103238,1.1822446154281738,207.21672696272532,206.7348150653839,207.26599571800233,56.59522942736597,57.40793099453358,55.66985770861114
0,30,119.40736643473308,19914.467429446286,20571.185782714656,18905.34897484756,117.84721755035719,119.93489988063276,114.99711554574966,1.2785290569137362,1.3077846700375135,1.1614704780712581,210.97969901180267,210.5585735836029,210.98753901004793,59.352920899284285,60.269818234631224,58.50468409722679
0,31,118.92864735921223,19589.90888185921,20229.30677388209,18556.57216253079,116.81905667916934,118.87848518107832,113.85060925340653,1.2384606137295144,1.267624669433602,1.1325301658698996,213.29173490651448,212.9272157535553,213.28237304210663,61.97001591634672,62.97609551011491,61.2354941002831
0,32,118.08749643961589,19719.098277487465,20389.302377733253,18662.821943710424,116.54386420416832,118.76794875834882,113.55040231657028,1.1651576721594317,1.1943064209611225,1.0729184421824869,208.48871529833477,208.2240779056549,208.50198091697692,62.32401574998178,63.375934277744776,61.72779525422036
0,33,117.04790496826172,19691.17502134083,20374.744415011883,18622.55107047281,116.0136294678847,118.3878483493179,112.9837879872322,1.1085106551822177,1.1383688341448057,1.0280206719073166,206.37043087816238,206.20276230955125,206.42375220012664,63.28063389109261,64.3700063446757,62.813050562341694
0,34,116.97779337565105,19296.225751299673,19956.60842651316,18228.574005187922,114.84054093909263,117.22379938004912,111.73834182405471,1.0769715349176685,1.1079545457869344,1.0060904988849009,209.32629704729715,209.2664480280876,209.43119249629973,65.69912909799659,66.8488623046016,65.35504527250306
0,35,115.8541030883789,18874.387127157803,19506.117567611964,17817.816955883565,113.61558282907804,116.03774731753767,110.47559384155274,1.0498832358056607,1.081606596717175,0.9874414827384963,212.7882676138878,212.87246377563477,212.94756629419328,68.1820930669694,69.39918609889182,67.94556273104085
0,36,115.52606964111328,19146.78791956956,19805.955240440395,18082.44796327689,113.5089163784186,116.13803677485883,110.43153823661804,0.979262271587464,1.010073782822061,0.9267524987947212,205.74305432891845,206.03513851356507,205.95467167711257,67.3939213980736,68.64390586874593,67.28371965088408
0,37,114.64525604248047,19261.307429481032,19928.313256486446,18201.182596796676,113.1407572174867,115.94646315596998,110.13193721580505,0.925811825571431,0.956268592311778,0.8808092430517619,201.57497151152293,202.07094721508025,201.8318555264473,67.43914871536455,68.7285398250106,67.4514768469631
0,38,113.84287770589192,18719.513541225628,19355.7735945693,17687.33389148534,111.5771237197717,114.41406117914617,108.58708009624482,0.9065884788011245,0.9366113772079128,0.8659601995737911,205.52961040226617,206.19847170615196,205.791888692379,70.18205823315606,71.53947015081418,70.31129766770793
0,39,113.24927266438802,18552.239125730444,19178.0720350635,17531.67780477089,110.67517147827148,113.62747833321988,107.75441284656524,0.873292564532353,0.9027445426600537,0.8378950397683306,205.05776962367693,205.89179740858077,205.327846347332,71.51325027703979,72.90804989572788,71.71390549464998
0,40,112.16500600179036,18768.643794620995,19396.486445879986,17735.137207664815,110.4315261739095,113.53744635890425,107.64318812227249,0.8261527097088087,0.8545923597571579,0.7957683443730861,200.145387996912,201.11927313613893,200.36446805477144,71.45866373013963,72.82388539541158,71.68328052122173
0,41,111.22655741373698,18119.605992472578,18708.06039592286,17111.15725772595,108.75438767544429,111.90486502407491,105.94367774701118,0.8235905678411829,0.8520285738753918,0.7950431126004055,206.00291789062817,207.126024135828,206.24587854361533,74.69499586576313,76.05870929547432,74.9740288790395
0,42,111.01163482666016,18250.293803746594,18844.231959759883,17258.806936497076,108.50598633456231,111.74134333012998,105.88174061655998,0.792834508650729,0.8207589807287851,0.7674777167769181,202.29876920350392,203.58911994600297,202.5346621067524,74.16871781795145,75.49615033033582,74.42483829440569
0,43,110.32945251464844,18454.305900807507,19057.736115468193,17473.6791076984,108.44042905767759,111.73772723530233,106.01646701097488,0.7632468586491392,0.7910858293137976,0.7403264186634568,198.33992911068597,199.74889770913123,198.51002023983003,73.62329613956888,74.8748121458213,73.81991162195635
