,epoch,loss_train,mse_train,mse_dev,mse_test,mae_train,mae_dev,mae_test,mre_train,mre_dev,mre_test,pred_mean_train,pred_mean_dev,pred_mean_test,pred_std_train,pred_std_dev,pred_std_test
0,1,235.2801513671875,76645.94917820333,81766.75159932849,73392.99920993017,235.2655229973793,247.65112149119378,229.11525697380304,0.9881031398314702,0.9852530642410398,0.9779850509611836,0.9583207058906555,0.9585658651590347,0.9584748190641403,0.0023022015827386705,0.002308346212114153,0.0024001879600752778
0,2,235.2563018798828,76632.83847068943,81753.01348946628,73380.3098767188,235.23774347424506,247.62340456783772,229.08809532493353,0.9877682786026873,0.9848393020314938,0.9779313938779175,0.986100229024887,0.986282788515091,0.986172696352005,0.002116842889151128,0.0021920318430377938,0.00217386383919053
0,3,235.2274932861328,76620.64604325527,81740.21137090973,73368.46108411356,235.21183254122735,247.59754399597645,229.06271150618792,0.9874504023966892,0.9844443808336548,0.9778760629178901,1.0120111620426178,1.012143360376358,1.012066108584404,0.001823053406641659,0.001929450836240853,0.0018877094250025854
0,4,235.1983184814453,76608.20261636673,81727.14308293915,73356.35771851013,235.18538852334024,247.57114618301392,229.03682167500259,0.9871253679022938,0.9840408567637753,0.9778222720895304,1.0384551799297332,1.03854117333889,1.038478857278824,0.0018568765173201346,0.002005487858153348,0.0019479464700881384
0,5,235.16867065429688,76595.25443558273,81713.54621510865,73343.7458972728,235.15783126592635,247.54367980837822,229.00985078126192,0.9867829425440432,0.9836187317394101,0.9777629840107497,1.0660124373435975,1.0660075479745865,1.0659863239526748,0.0019438737343259402,0.0021405551865211914,0.002083201056373686
0,6,235.13519287109375,76580.43604967328,81697.97267626581,73329.33714930693,235.1263768863678,247.51223527014255,228.9790337792039,0.9863977068288764,0.9831391848975644,0.9776991421576333,1.0974668169021606,1.0974520862102508,1.0974256080389022,0.0021350372681383234,0.0023877682371456843,0.0022518897156646547
0,7,235.10299682617188,76564.57957342328,81681.27082434589,73313.87872872618,235.09272293329238,247.47854519248008,228.94602900773288,0.985985583281885,0.9826315745959521,0.9776251025646401,1.1311207699775696,1.1311421638727188,1.131084936261177,0.0022374204919091926,0.0025418226170769763,0.0023545553870568097
0,8,235.06886291503906,76547.74200290645,81663.5447514235,73297.4812584712,235.05695999503135,247.44274723172188,228.9109550407529,0.985547640812301,0.9820866859298343,0.9775444822849417,1.1668837082386017,1.166940124630928,1.1668530482053756,0.0024448608169535765,0.0027398020659503684,0.0025570422307321086
0,9,235.03323364257812,76530.15400495438,81645.03174973065,73280.34199271869,235.01955862402917,247.4053528803587,228.87443326503038,0.9850865229220338,0.9815146360281031,0.9775829025294479,1.2042850792407989,1.2043344759941101,1.20425925552845,0.002596661655312373,0.0028668482896264803,0.0026477088192480777
0,10,234.9929962158203,76511.54975813569,81625.45369691978,73262.22735307632,234.97999768018724,247.36577961862088,228.83602736264467,0.9845996476265778,0.9809094959329774,0.977827146001527,1.243846023082733,1.2439077377319336,1.2438388353586196,0.0028047298814089035,0.003050053372887775,0.0028013130495684923
0,11,234.9501190185547,76491.67325677947,81604.51664810978,73242.86446060055,234.93777894020081,247.3234764635563,228.79504460185765,0.9840829405165193,0.9802640019367596,0.9780930339844687,1.2860647630691528,1.2862108927965163,1.2860804605484009,0.003278123829874359,0.0035171682999786892,0.003228811186158965
0,12,234.8981170654297,76469.3478447994,81580.96112255407,73221.06058193799,234.89037630081177,247.27585367381573,228.7488874527812,0.9835030078446421,0.9795413532556208,0.9783785483166829,1.333467402458191,1.333833682537079,1.333627324104309,0.00416074374819354,0.004547314032432837,0.004151112219026922
0,13,234.8475341796875,76445.36698369244,81555.64455751391,73197.61880686381,234.8394848906994,247.2247610759735,228.69938913196324,0.982878484990237,0.9787716750253646,0.9786708007838155,1.384358812570572,1.3849262803792954,1.3845805656909942,0.004662929945493684,0.005175571245251666,0.004791712451776031
0,14,234.798828125,76418.77894713129,81527.66201201807,73171.698924573,234.78305922985078,247.1683042806387,228.6445787665248,0.9821932904296733,0.9779330970811837,0.978948447820927,1.4407844734191895,1.4413830757141113,1.4409172356128692,0.005628930865496722,0.00620072999918503,0.005915674579115922
0,15,234.72726440429688,76387.82807721873,81495.08307701787,73141.50685948013,234.7173968565464,247.1029089409113,228.58077934056521,0.9814026611439209,0.977221646498498,0.9792928572422045,1.5064468467235566,1.5071669507026673,1.5065186375379562,0.007446345392345337,0.008197069798179555,0.007957255767318944
0,16,234.65773010253906,76352.55404455683,81457.981833988,73107.15526756042,234.6423852586746,247.0286269813776,228.50794459313155,0.98048675687017,0.9765857043878325,0.9797189987170265,1.581458444595337,1.5821708464622497,1.5814907824993134,0.0080416404571757,0.008843370810859496,0.00867422269409935
0,17,234.6004638671875,76314.19588506919,81417.57931290782,73069.76285526081,234.56075013399123,246.94771995902062,228.42863660901784,0.9794849754018523,0.9758928661491063,0.9801903616476365,1.663093569278717,1.6638682729005814,1.6631462502479553,0.008648807860695412,0.009494440146987007,0.009385919552804385
0,18,234.4987030029297,76271.97966984044,81373.16329796641,73028.61037985989,234.47080001711845,246.85876428186893,228.34134046286346,0.9783799896568617,0.9751317713615565,0.980710508790903,1.7530436861515044,1.7537007534503937,1.753033285140991,0.009171854106531081,0.009957362914409598,0.009951074430327314
0,19,234.43104553222656,76225.06741393413,81323.80265259117,72982.91090255692,234.37085848212243,246.759871494174,228.24513218909502,0.9771548488612547,0.9742788586454927,0.9817150101506936,1.8529852211475373,1.853546121120453,1.8528512936830521,0.009808613146135615,0.010450789418020405,0.010716658378921684
0,20,234.2806854248047,76173.65859949421,81269.74364502267,72932.89113246961,234.2612433516979,246.6514230197668,228.1398558178544,0.9758080984578679,0.9733472621247965,0.9829952667170319,1.9626003515720367,1.9630748653411865,1.9624128049612046,0.010198459650016216,0.010683644847351362,0.010999100837374409
0,21,234.182373046875,76116.68153252364,81209.91962348159,72877.53606155142,234.13978355407716,246.5313753205538,228.02328519791365,0.9743243082871174,0.9723147328801915,0.9843791290858739,2.08406014919281,2.0842910265922545,2.0836572194099428,0.011263728157271644,0.011584654477360937,0.011865738390428766
0,22,234.06558227539062,76054.59378987073,81144.61655653876,72817.12376438767,234.00725670099257,246.4002754074335,227.89603829354047,0.9726969523835723,0.9711819992518071,0.9859227052336672,2.2165870022773744,2.216673798561096,2.2160683703422546,0.01198764710146152,0.012070109559422233,0.012411697860325316
0,23,233.90057373046875,75987.23157588071,81073.72410274242,72751.54590741613,233.8633680534363,246.25783313810825,227.75786335200073,0.9709280815788918,0.969956009879008,0.9876119258165806,2.3604756498336794,2.3605280923843384,2.359882378578186,0.01273678179954947,0.012623604234107763,0.012991619202493811
