,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,247.54489135742188,82036.62811579491,80544.55152785755,82298.43619288568,247.4431688794593,248.04331441548467,244.33199893292786,1.5667294416030249,1.5538024187088013,1.5672003147006035,0.22898786425270903,0.2285054877861623,0.23150064096356832
0,2,247.24200439453125,81855.61918611253,80364.65837636271,82120.50817037835,247.09338247075678,247.69855948016047,243.98159495952726,1.9171426423390707,1.8988118057847023,1.9177431681156158,0.3304396403116206,0.330247417082022,0.3349123209977259
0,3,246.86514282226562,81628.96373765884,80139.63777334681,81897.87847993166,246.65326005910833,247.26474201741814,243.5409781843722,2.358352363546689,2.333141877770424,2.358926947236061,0.4541840693510984,0.45445931555997193,0.4609382988582494
0,4,246.38101704915366,81327.66979048116,79840.10852951549,81602.04007014657,246.06837203213573,246.68844110491872,242.9549152033627,2.9452334693868956,2.910616392016411,2.9463016686439514,0.6275373490984707,0.6280472310665383,0.6379952922542487
0,5,245.7398478190104,80937.92506916058,79452.62142554174,81218.71679794506,245.3093051972687,245.93935787478088,242.1952697096765,3.708030642747879,3.6620716292858124,3.7093769041895865,0.8403531026244602,0.8419122988205535,0.8562407575991527
0,6,244.91466267903647,80441.41768021404,78959.79230857921,80730.68751606718,244.34013248452544,244.98294648012518,241.22720551118255,4.68347977199157,4.622605898201465,4.684285353600979,1.1024964133116555,1.1053116231452513,1.123961908562807
0,7,243.86097208658853,79808.10984984545,78331.42882498213,80107.84044613858,243.1000580779612,243.758097979933,239.9902466606796,5.934369176069896,5.854898642778396,5.934209590017796,1.4324879610487955,1.4358698730758743,1.4604227978914628
0,8,242.51012166341147,78994.75674342902,77524.67054406898,79307.4914234607,241.50188664808869,242.1769267589152,238.39424349322914,7.551050347248713,7.448279309034348,7.550232387304306,1.8506967355880641,1.8544614521079885,1.886335856865616
0,9,240.7596689860026,77935.80886473427,76474.77064610034,78265.30535494983,239.41030037294826,240.10636276832224,236.3104176749289,9.671353311578432,9.53832061624527,9.668503887414932,2.3897094983140676,2.3924567680203976,2.433293446843448
0,10,238.45513407389322,76534.87421198087,75087.15861594376,76886.66418892972,236.62567224100232,237.35113818076252,233.5362888996899,12.505084207733471,12.331019591927529,12.497327733159064,3.102353192615981,3.104132674383606,3.155616363210971
0,11,235.38957722981772,74697.5097409755,73267.34487089759,75078.53601585992,232.94898276034,233.7284089025557,229.86260520353915,16.269927620808282,16.04101218175888,16.255298221826553,4.0663881677103735,4.067096343647609,4.131259408119212
0,12,231.3593495686849,72319.61439429935,70912.03422426902,72738.21399308814,228.1423501237134,228.9981404365599,225.05792728033663,21.237650551954903,20.934914313793183,21.21402923321724,5.345338364639758,5.341775134074516,5.425772119394733
0,13,226.10344441731772,69282.36778746024,67904.02003606633,69747.51583770987,221.92730212981502,222.85771471205354,218.88722582760454,27.752602947155633,27.35417800617218,27.716839643239975,7.023311899969066,7.014073442927174,7.124990139460114
0,14,219.36207580566406,65474.23401944377,64133.54677054721,65995.7459496992,214.08279347291588,215.03869137230515,211.00987409320473,36.21497989066442,35.69250670957565,36.1655259270668,9.179834009820233,9.16509830977661,9.310504633109241
