,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,222.97080993652344,61231.023673069714,59923.73925019553,61641.18997213398,205.30116466632487,205.7756172198355,202.0327383848727,47.028124284744266,46.819571146965025,47.10741963672638,10.399858411167044,10.569217616624627,10.48619498142214
0,2,191.87996927897134,43155.22040133191,42059.534096876785,43721.686741863625,168.5520997802317,169.28301275339723,164.9088626858294,97.74663639513652,97.20433351516724,97.96182761383056,20.562239584009134,20.927437291858087,20.857236312047938
0,3,153.96251424153647,24896.850333103583,24217.61342878266,25603.94227622598,131.61172104119262,133.29157719126343,129.75962883344292,182.21813933817546,181.02983631515502,182.67014053726197,37.98010020546806,38.61855037196294,38.57873388790421
0,4,128.4771474202474,23679.895260430832,23679.319223995935,24280.600232825185,130.41597278196613,133.01525137796997,131.05976367536186,295.15641260401406,292.9852222175598,295.95288386917116,62.29256047087846,63.26017830027662,63.17069620973827
0,5,138.40611267089844,24528.80616119775,24559.07186058299,25076.116217408304,132.19235400373736,134.66010382547975,133.1319454113543,303.7970505777995,301.37635311508177,304.5282910614014,65.02827460060041,65.86985181439984,65.85652615986311
0,6,132.2389348347982,20640.542331013996,20303.143591669937,21338.945145964048,123.2566840399007,125.48190624704957,122.53282441297173,247.79490462875367,245.73761568832398,248.31502851486206,53.82277456213626,54.41593491841952,54.46692719574129
0,7,124.428955078125,22351.147467448012,21754.51202340437,23114.83017932117,126.00378926768899,127.90637716761232,124.42452181401849,201.98757925478617,200.27937516784667,202.3592292728424,44.426752788426455,44.835583469673516,44.93295752800385
0,8,126.56147003173828,24050.81840841914,23357.24888180624,24819.176959826018,129.10318693016967,130.9753435944617,127.17111356511712,184.75337237675984,183.11232397460938,185.05144850730895,41.51744105480063,41.79156085275519,41.967415469903486
0,9,126.41919708251953,23007.0231498127,22344.115837954174,23756.36259885701,126.82436444456378,128.71528526201845,125.02737624898553,192.81075285975137,191.04643372154237,193.0751553249359,44.232497438140726,44.418636895138306,44.708322053659856
0,10,123.74172465006511,20695.53809715828,20171.53210389582,21392.17838398455,122.37825701505939,124.22487525263429,121.05174335828424,222.24481473032634,220.16876119995118,222.51715644454956,52.007273326139384,52.140509026839794,52.57959997950881
0,11,122.17684427897136,20160.60549098659,19749.42221325992,20795.837668641598,121.54950008439025,123.60302801027893,120.6079371906817,246.4822965628306,244.11544647407533,246.75115104293823,58.944134330640416,59.01812578826785,59.56180828566786
0,12,123.38525644938152,20169.11336601595,19690.72233469991,20850.7188670154,121.16676649013162,123.09484163752198,120.04116572728753,234.06502252133689,231.76075672912597,234.2707920780182,57.301911478041795,57.27669967038527,57.857682156098676
0,13,121.4728495279948,20909.97957108212,20324.59186392379,21661.14031766163,122.0699455100596,124.07468203821779,120.62948745122551,214.30477801831563,212.1129155883789,214.47629293632508,54.169935439855735,54.06146950802286,54.61025634087821
0,14,121.38708750406902,21409.898131678794,20778.162685526953,22194.858188504684,122.72628706978759,124.75332600489259,121.12267216268182,206.17104333368937,203.9872317008972,206.3000899028778,53.71119412282801,53.5591848078765,54.092833952988855
0,15,121.46310933430989,20919.068968802323,20297.325900469914,21694.470250638897,121.59178872409463,123.65568032541871,120.08061944547296,212.36926231892903,210.06331271743775,212.46280825042726,56.92647949003328,56.70937893687502,57.30725389177131
0,16,120.63754781087239,20301.292304688144,19711.889814384114,21044.649069999785,120.35164037083587,122.40127880373598,119.01272367635369,223.37739814853668,220.90552472877502,223.4289628391266,61.27438460967947,60.97292110229021,61.674329341707235
0,17,120.36824544270833,20213.363219338917,19615.64211689787,20945.178147048235,119.9878737384379,122.03271344080568,118.64935392156244,224.37598554293314,221.8462606239319,224.4029708843231,62.98522120608306,62.60277439525729,63.403604144557114
0,18,120.0625,20915.838504692085,20246.940887090583,21677.184281385726,120.95852892572681,123.0628144158423,119.39231831899285,209.8710126466751,207.5057869796753,209.8691475391388,59.48578426515309,59.085477433031365,59.84595277606021
0,19,119.65174611409505,20996.06414655737,20317.48249591308,21748.81102658646,120.93995731209715,123.04974778547883,119.36705064454675,207.74897012964885,205.41901931285858,207.6969290971756,59.3137282104438,58.86960821410058,59.64609647967102
0,20,119.34493764241536,20249.85955600769,19613.626468863393,20959.439984398552,119.49073471147815,121.51835559359193,118.08956742349267,218.64560311603546,216.2054536190033,218.55941751003266,62.97760318751898,62.471056642094666,63.32505723134653
0,21,118.96673583984375,20246.9113443642,19606.251441535245,20948.07878446983,119.26984158022205,121.30403772440553,117.894520547539,216.80915445804595,214.42663500976562,216.68065876960753,62.79039268842358,62.247350124531714,63.0961677400757
0,22,118.71880594889323,20757.08513985376,20088.828360149368,21471.74821957075,119.91197158987323,122.04045134153962,118.45484392896294,206.9742984231313,204.740970202446,206.79992922973634,60.164639978683454,59.585379148325835,60.38698601658254
0,23,118.41904195149739,20371.71850106628,19711.881367469116,21046.09183563575,118.95684214130044,121.00326982203126,117.59266963067651,210.42331942240398,208.1965708885193,210.21917061901092,61.56779622703038,60.93837621912603,61.717755107610905
0,24,117.75374094645183,19756.971862601044,19120.199560422705,20361.919343811198,117.5989150840342,119.40488377276063,116.33784277692438,217.7411090520223,215.52160437202454,217.51232487106324,64.01613085216455,63.33365807139228,64.07212384574366
0,25,117.03318532307942,19965.65894007768,19305.400331305536,20526.654494049475,117.50881625412902,119.23783171358704,116.19538209787011,210.2997998905182,208.23582506752015,210.0257821702957,61.97761051273909,61.24167299752789,61.860792956830274
0,26,116.01957702636719,19364.71682512557,18723.03527819152,19811.919289572324,115.91931884526213,117.26953611460328,114.6535447947085,214.7186524508794,212.66864054489136,214.33621324825288,63.32595852979862,62.440627572809895,63.01369732777856
0,27,114.7657241821289,18927.167400966282,18306.601627601372,19237.355843063295,114.41344286933541,115.33834310236573,113.15712620416284,215.9847242161433,213.9144942588806,215.41634160518646,64.65083561230031,63.59346709904242,64.13873476663467
0,28,113.60805257161458,18743.47394070409,18151.774299634217,18946.45791553231,113.05912160792947,113.75009462538361,111.86168814340233,213.0696680692037,210.8071823396683,212.26449800014495,66.92810390882599,65.67591054032773,66.33313298888677
0,29,112.16038767496745,18374.06757770458,17831.695081996084,18500.242231015138,111.02312339956562,111.60950172510744,109.95064092031122,213.49188661766053,210.72485181427,212.27256596946717,72.44113794712611,70.92145116030248,71.79299922892078
