,epoch,loss_train,mse_train,mse_dev,mse_test,mae_train,mae_dev,mae_test,mre_train,mre_dev,mre_test,pred_mean_train,pred_mean_dev,pred_mean_test,pred_std_train,pred_std_dev,pred_std_test
0,1,247.13438034057617,81053.53713293673,79560.23654225074,80812.83443930003,245.94594483290984,241.78655024448037,245.0920699041307,0.9466078952981921,0.9469164204407045,0.945865353922694,6.499028573960066,6.449510064840317,6.392503854179382,1.3878655889369145,1.382799667006293,1.1320412500528987
0,2,243.29364395141602,78512.64446495254,77069.47992756013,78417.27887931728,241.00780728270485,236.87481630936264,240.41270679091812,0.9197486653530885,0.9182412652264439,0.9223127901046566,11.514022874891758,11.428180623531341,11.166227061748504,2.363389583808261,2.372649504036442,2.062621801517227
0,3,237.07894134521484,74603.17106253366,73243.01941428217,74755.93061390774,233.3522034326382,229.25720543947816,233.22687175816893,0.8904794293297866,0.8846661572708311,0.8981660139979802,19.412683144807815,19.263962625980376,18.6310720164299,3.8962582193267545,3.9210802262048485,3.5268130580583454
0,4,227.87894821166992,68852.94345889315,67614.47876938606,69268.12193791584,221.88888476069644,217.9046843408644,222.37022742432953,0.8642021975561668,0.8575905314421373,0.8811550188610338,31.568442383766175,31.334733887672424,30.283845431995392,6.1464058607001855,6.207643286043323,5.771489192344991
0,5,214.6692237854004,60904.11854736749,59835.81751736663,61477.943092909096,205.73828798492625,201.92230530682207,206.6635554990709,0.8572312252709945,0.8504495456559448,0.8840913638474809,49.61527496385575,49.268043190956114,48.032690864944456,9.224549078598564,9.340299401044472,8.809221577531892
0,6,196.13634490966797,50515.54964090042,49681.60755842924,51102.69418706912,184.27962671144678,180.63931798973678,185.36847527369858,0.8967245616575147,0.8886507720448699,0.9368833725486587,76.0138106765747,75.50743008232116,74.51827634353637,13.637072576155683,13.826826986175128,13.081191666008026
0,7,172.37149047851562,37557.10158016224,37043.878463913636,38123.49055878839,156.90355564411357,153.7885693782866,158.3534532571733,1.0252369022396473,1.0168803115055947,1.0893522029734257,115.84122594594956,115.09466472434998,114.71850086860657,20.360111667078947,20.658867871493584,19.569713914987567
0,8,144.70848083496094,24280.785789271944,24172.160391138947,25072.39836101346,128.12669294508174,127.37079624024034,130.81591797313095,1.309211191635971,1.3160832113985768,1.4109992329892926,174.8467505979538,173.7295178871155,173.49723969802855,30.773267552396657,31.241718744311303,29.390784425741217
0,9,124.29211044311523,17689.686004828265,17978.729115352187,18657.919046006744,113.99524569090083,116.11039984741807,117.47579242762923,1.7882750692368525,1.8130600590929928,1.9209033880753486,251.04309516429902,249.3981905708313,247.2433083694458,44.912835824069475,45.561921856270864,42.301891295617686
0,10,126.44096183776855,18930.638346175074,19356.883504845508,19345.62445757259,117.33992335279659,119.87972227707505,118.95311671656967,2.056996901973484,2.0878467979768938,2.1632742101509326,292.5938414354324,290.5909985122681,283.0031141555786,54.008823611358125,54.738602472563876,50.524256517997586
0,11,126.95940017700195,17377.304770322964,17714.522848138713,18075.51009902334,112.96043635996058,115.32524901047348,115.51194642390608,1.8302623404323748,1.8576288974278277,1.887807856394436,268.79551332092285,266.87936389923095,254.65103529052735,51.24759808343538,51.91588389471471,48.08592270915273
0,12,118.53774452209473,17573.625380218098,17746.50007915251,19421.40705028802,112.60465639837459,113.9077368644774,117.5762250829637,1.5208894887437119,1.5393545706054705,1.539949335427534,229.72856713962554,228.0387212371826,212.47287225494384,45.2862245766765,45.85972773043995,42.712272162328944
0,13,115.11617088317871,19038.24174088904,19093.369156762732,22187.378540669037,115.27838558729366,115.656470110327,122.918460941118,1.3348266937458828,1.3471336512422638,1.3243388858128184,206.66259864521027,205.06284256744385,185.04662680511476,42.74611098365296,43.25578352255183,39.933936262952905
0,14,115.50592041015625,18832.91516024871,18874.360020860346,22986.068705327092,114.18875762136653,114.41048623123766,124.15139444026352,1.2710874624383242,1.281417875098365,1.238825749678065,204.98231492710113,203.30647501373292,177.78785482788086,45.11350607252495,45.63029254536802,41.42221528727546
0,15,112.5340633392334,17041.51043563054,17144.81274373552,21507.960619413177,109.54117667444423,110.27421564140916,120.37773002299666,1.3009905110118902,1.3128233633806632,1.2392713149642947,221.32804035186768,219.39806058692932,186.23974783706666,51.96169505656127,52.56506128457978,46.66879353427648
0,16,110.21918869018555,15831.572601671643,16003.640416001619,19898.870309339087,106.48502275856212,107.77938616600633,116.33998241862655,1.360054343558045,1.3747802719449902,1.2588957618876127,240.82457211637498,238.63670896339417,197.5227546775818,58.98448074126553,59.69734665288471,52.276412732722974
0,17,110.39407730102539,15660.570790133801,15822.340459333922,20618.021295348462,105.57370779855921,106.77398941269517,117.46842412623764,1.3018102949318489,1.3146136245028477,1.1795360846727858,238.86651089286804,236.5828352050781,190.07482013702392,60.85091435223618,61.60650938716419,53.4145110112446
0,18,108.29781150817871,15984.340959168867,16100.967616707909,22900.795774836926,105.54437869127467,106.3239479984343,122.0932898523271,1.1845363647413099,1.193452926445996,1.0554430563602508,226.327845870018,224.02760066032408,172.9534866268158,60.4102901686707,61.17528059452991,52.27431714851258
0,19,107.31514549255371,16126.696392906126,16214.255490053469,25058.476817575796,105.10083219869807,105.5699523281157,126.5475698965013,1.0987606889875223,1.1043117198667713,0.9596270546913557,219.9709873304367,217.5765018787384,159.47865224075318,62.12153530707986,62.91853486376807,52.04497081683898
0,20,105.48211479187012,15556.328265697712,15650.06378372138,26215.806337529262,102.94136275823787,103.45071133080125,128.72441959533094,1.0587803544633356,1.0632701460308531,0.8949556644347877,224.24923445034028,221.63371054267884,152.41764164676667,67.42688507539104,68.29031755510407,53.68389662993725
0,21,104.75881958007812,15087.23439288837,15181.8947927349,27946.128889738684,100.9887409141846,101.48563042488693,132.3745585794389,1.0122950243655426,1.0144753760911074,0.8306834180056895,227.62689428544044,224.8040846233368,143.20267211608888,72.89763110320312,73.79708078820767,54.46563455406456
0,22,103.06905555725098,15354.532661904059,15416.701265253196,32024.636918904824,100.50025682004168,100.45517270508408,142.01405318049788,0.9154110888191114,0.9126213393615794,0.7664866613819967,218.91109621977807,216.0503635597229,125.63176870880127,74.86664381601065,75.71713225326748,51.41251588049036
0,23,101.67439079284668,15518.523511927347,15557.945468311907,35899.49580731196,99.82803572471812,99.46558696117997,151.28832870501876,0.8371058590307209,0.8320108057961051,0.7300145276555934,213.4912011876106,210.56651628398896,111.11516873283387,77.80433410686213,78.60812313527425,48.84412497438322
0,24,100.48135185241699,15039.038180920807,15079.597710512755,38229.77214485557,97.84029463132099,97.38641878262162,156.86730764083265,0.7965100913949289,0.7902582269478619,0.7119113618264062,217.1756111524105,214.10221468257905,102.86851125278473,83.54174432650544,84.36847345270476,48.32607223719079
0,25,98.99040031433105,14906.505838548974,14948.45013001152,41147.115804211535,96.72254487963393,96.10365805950761,163.88045234689116,0.74814135475023,0.7401570006015438,0.7047895324895972,216.36071165049077,213.23476838588715,93.47987301092148,87.06807459022602,87.90421202897346,46.42475346001097
0,26,98.50942611694336,15024.736778359553,15062.600020549584,44364.15403601168,96.19918296488002,95.4133290847838,171.562336717695,0.6964803484590602,0.6865458202920003,0.7063871789101667,212.10338835811615,209.00348302841186,83.92908019208907,88.655543094599,89.47032999848645,43.57110174787121
0,27,97.36429786682129,14987.317106242815,15030.81134645561,46883.12582136771,95.49483902939036,94.70752535095811,177.55205440701843,0.6592458884584794,0.6487210373612026,0.7094731246703126,210.2084757795334,207.13546166038512,76.75251631059646,90.06436819922152,90.88795954728315,41.69391634716601
0,28,96.86824035644531,14698.374084999456,14759.794078742889,48422.331629422304,94.4503763252087,93.78075305023789,181.30042784528138,0.6393521931555347,0.6289708917617558,0.7116088836990366,211.51333823013306,208.47347313308717,72.32481614599227,91.22355418325601,92.11877093597032,41.348369981165405
0,29,95.37120056152344,14516.35514104486,14594.605565421274,50165.77838773793,93.69978419812396,93.13021094837785,185.503670651716,0.6189037173491353,0.6088053462908178,0.7187222182326235,211.5723293478489,208.58728402423858,67.56007899427414,91.575713816897,92.55103318097714,40.8970236226394
0,30,95.03074645996094,14706.11857747044,14784.083404112884,52633.73582061336,93.84287302382663,93.24491813650727,191.27435525893569,0.590212664175509,0.5800996067148583,0.734907392515416,207.38784922480582,204.5216036028862,61.29637354259491,90.4107368687615,91.42175545848546,39.600510361039916
0,31,94.07223320007324,14315.931302400631,14421.75973534971,54050.59242883302,92.5859944598265,92.10926376643776,194.64711954550148,0.5778697753769377,0.5684854217382905,0.7461494455767395,210.0933884521723,207.22310602545738,57.68746220917702,92.09923828418239,93.17694631317357,39.910219502146674
0,32,93.5683765411377,14566.917861959877,14670.95729323768,56698.52563338232,92.74952664633467,92.20939994803071,200.50238680910468,0.5491473979847006,0.5400854985333348,0.768471890283713,205.48818517434597,202.71015604829788,51.594504407548904,91.71852643429486,92.74406160199774,37.88924415562236
0,33,92.48629760742188,14178.448292411056,14309.547868079324,57306.57014251437,91.5771271722503,91.15281631651521,201.9107763811052,0.545044321259354,0.5373829545720595,0.7751096612783717,208.1290090870261,205.34020087575914,50.129386159324646,92.75305488671853,93.81321208355257,38.490988424678825
0,34,91.74212455749512,14481.359384608595,14602.36334267547,58911.13857241029,92.05426967265085,91.53004013624788,205.28618297209144,0.5259764434513555,0.5191742491661678,0.7887888086088943,203.26122597235442,200.55503344488145,46.66690676636696,91.41045165141985,92.42659688627727,36.9620357807561
0,35,90.83137893676758,14026.053621246947,14172.946942835122,58733.23208735937,90.82541753812507,90.4164791661799,204.95206633452773,0.5297487918304232,0.5240489125709998,0.7878717032972531,206.60144389414788,203.89516179680825,47.009278195285795,92.04881523398141,93.12231523149576,37.90286148662211
0,36,90.65681266784668,14336.015392503488,14464.665029360818,60192.57576724949,91.44063185234741,90.966982337147,207.94127084445358,0.5144144911645724,0.5094544689914867,0.7991047802767954,202.085617308259,199.54275756716729,43.947233881473544,90.62504355023898,91.66359879180432,36.275839340267495
0,37,90.61273384094238,14148.800952734211,14289.184053297025,61206.85784702679,90.7942059120126,90.38109676972032,210.06078717822433,0.5073346237358831,0.5036505766387797,0.8077066510124774,202.81907805198432,200.37857686758042,41.77169130716324,91.33152149454884,92.38345657499414,36.0431375758333
0,38,89.38824272155762,14022.668036480849,14172.757402739153,62363.6753501108,90.2184776144512,89.90843613567948,212.4287771951139,0.49847851953754835,0.4966824930558209,0.8173073149721982,203.1215778619945,200.77487923240662,39.346112263441086,92.47752757542267,93.53528677984028,35.29789669424041
0,39,89.60578727722168,14419.3455623091,14567.184037559058,63448.68321527219,91.14879123269394,90.90980663004518,214.62785636529327,0.4876098065993745,0.48783883901364955,0.8261512939302689,198.6425022225678,196.42725300836562,37.097683549118045,90.9068879893222,91.99197223569855,34.20056580798966
0,40,88.4383544921875,13884.170200343777,14087.498004019853,62549.17692302321,89.77664754058793,89.7932648088038,212.90213007053734,0.4990395120129486,0.499723438977819,0.8202682433511387,203.14849542039633,200.93383668875694,38.86398966116905,91.13882186185675,92.33198811646513,36.450198075573745
0,41,87.42184638977051,14133.764202067025,14334.646761156217,63813.73606829556,90.29723815988376,90.36935774698854,215.41831377553345,0.48800860438773747,0.490677137103107,0.8311514139686131,200.05401709452272,197.9341798620224,36.30633581738472,90.7204584076509,91.90776958715122,35.45090111170844
0,42,87.79924201965332,14382.778043941975,14570.845508545619,65084.5758291102,90.89767621390894,90.94477327862381,217.90804201399683,0.47792962392702604,0.4820200815309056,0.8419064691592044,197.04442988869548,195.00875357055665,33.778246024489405,90.2021889149581,91.38067380756827,34.28962922256877
0,43,87.2052173614502,13965.243878162659,14177.510499636868,65029.42109995022,89.7775974647291,89.94716390934586,217.81735911259054,0.48219364304711665,0.48653460608210064,0.8424848857138045,200.12993693622946,198.0649551653862,33.8807147547245,90.6905128737647,91.92791441972223,35.127377643613805
0,44,86.97286033630371,14295.431233097463,14493.243223155841,66076.41512881956,90.58585559167341,90.73688819101453,219.83111542295813,0.473849144588882,0.47981849956936895,0.8509374288935146,196.8076824489236,194.7462310346365,31.83706681814194,90.02759173544693,91.24792667291379,33.966173545762246
0,45,86.41054153442383,13544.853102077677,13794.196417285619,65092.47538222531,88.51124381076173,88.93077829053998,217.95077683977485,0.4859000600120194,0.4922589164166122,0.8443840019591642,203.3307571826279,201.2138084849119,33.76550117959976,91.52314681712623,92.83959129736904,36.18754567611858
0,46,86.05477523803711,14443.720617529169,14648.74618667098,67548.95856331219,90.7548927369304,91.00002251687646,222.63985008670687,0.46374583868269126,0.47221710882321755,0.8632916288922503,194.69955569171904,192.7399657099247,28.996291529536247,90.81640590669333,91.99053053011734,32.56465328968457
0,47,85.19223022460938,14277.190031622551,14505.018872549947,68343.40260018119,90.04129818188026,90.41512352278829,224.12273125900626,0.4583581376822534,0.4682996967015925,0.869709336615969,195.63053421732783,193.74858855974674,27.499243293476106,92.88099891626375,94.01792180103138,31.775612743442846
0,48,85.9080924987793,13974.408907775569,14247.67821139852,67054.24618414592,89.25343755467608,89.8151074999869,221.6864764396131,0.4675010645168388,0.47670014165909247,0.8600529110113272,198.13475881397724,196.26071675682067,29.98376505537033,92.29782259152127,93.56427235855035,33.93747349513898
0,49,85.03339004516602,14632.870081330246,14883.108080055652,66886.65668915611,91.32834669916704,91.73748924985529,221.37457972907424,0.46694621059190866,0.47470566626102195,0.8584764230033399,192.59227396526933,190.78502470755578,30.30226464653015,88.91190075128243,90.17653134706202,33.73212206719913
0,50,85.52909278869629,14396.382303419623,14656.36452056297,66765.52314576933,90.71283738695458,91.14758177235723,221.1431073040426,0.4693050428459767,0.47638431866290226,0.8574689199570307,193.99817897239328,192.23630980074407,30.54303924732208,88.79277754018601,90.03157374526891,33.765226575660144
0,51,84.9096565246582,14491.199889234651,14754.367174017421,67704.41568313807,90.7900416185744,91.23331539097428,222.8942321328342,0.4618117310694198,0.47004835567484327,0.8641032146161156,192.74602111443878,191.0552428712845,28.763400123000146,89.80528193020096,90.9875905552504,32.23346219590719
0,52,84.38760757446289,14594.905363518836,14876.155013749763,67923.39777090694,90.90342665432766,91.46124711194635,223.28465991114973,0.45797739128364556,0.4673870080046647,0.8652920230395961,191.77687594535948,190.0905488474369,28.367847371816634,90.30190804364393,91.50345420656036,31.736292209014962
0,53,84.10626792907715,14622.862421398939,14920.327927826078,67965.91473039323,90.86191803719476,91.54095432904363,223.353967626065,0.45523970016900556,0.4654296171557565,0.8653686051313629,191.323475505054,189.56752179062366,28.298369882655145,90.75568931609946,91.92194258757118,31.64339382347874
0,54,83.98995208740234,14623.471757843668,14919.327937340851,67735.38222242656,90.86587794031576,91.5481095624268,222.9534161788404,0.45511116338741464,0.4647821398065739,0.8639080041878063,190.98097352051735,189.15229688704014,28.701775531721115,90.09058826599306,91.23801609751641,31.921894865709177
0,55,83.74669456481934,14544.530756296264,14848.265974221009,67049.45256029032,90.7562012499161,91.4228702649176,221.70494221829773,0.45987512915212647,0.4682104770873308,0.858946601821584,191.42183314442636,189.55863888216018,29.965241126728056,88.59752487912074,89.77830744754469,32.63387830828923
0,56,83.75336647033691,14811.61450125994,15098.388194710607,67633.17866024646,91.46842505248263,92.05485185888409,222.8423205698669,0.45391903387944466,0.4625633567608131,0.863463992543572,189.11734059768915,187.29818549191953,28.799462396121026,88.15368250410911,89.29327828115761,31.535561475900018
0,57,83.62770652770996,15338.200420308263,15598.380250148022,68821.68375470277,92.9239894204922,93.3701258315146,225.0924371268928,0.4450911939912826,0.45437242968578595,0.8722505867136233,185.02365778297187,183.3018417506218,26.50703912756443,87.66451181976791,88.72051392735816,29.202708759042917
0,58,82.72062301635742,14732.069181680985,15031.735106130072,68533.56376592348,90.99174763997271,91.61552204075456,224.55275760380627,0.4458536261593856,0.4556112711542507,0.8699138484077626,189.124155934155,187.40596717357636,27.055516848874092,89.60655014830894,90.68657972540062,29.6494261891234
0,59,83.1740951538086,15366.078554846294,15636.119986572287,69192.13573418987,92.83530901568011,93.36428870168328,225.74266252502798,0.4396623727606273,0.45040909178212263,0.8741027385855396,184.2878171939552,182.63676191878318,25.849098253583907,88.65997229908679,89.64768473955309,28.31148016709262
0,60,82.43966484069824,15184.76781526275,15472.015329570871,68550.51708564172,92.3162554509528,92.93482713261247,224.53258070520758,0.4420559141185023,0.4527413199717549,0.8688695405946503,185.44125834563374,183.78462079334258,27.078263347244263,88.4941239473134,89.4988005578697,29.202199599784866
0,61,82.13279914855957,15154.81725240505,15459.78750014991,67545.30829426227,92.30179514177516,93.00321994331479,222.6337247431934,0.44688819751643455,0.4571066967547734,0.8608777779429236,185.7333037993908,184.08767797744275,29.010477255225183,87.53334108520625,88.57348785454042,30.52683883382433
0,62,82.03590393066406,15778.028296471255,16065.82560802572,67869.36487055475,94.21635457469895,94.84621026089788,223.27486006481053,0.44354652305764525,0.4536311070549552,0.8631826935830901,181.37615834462642,179.7603124626875,28.349874237275124,85.72988419954159,86.75866093843764,29.583743521227884
0,63,81.7515811920166,15633.720576235932,15946.343552209031,67987.78220719732,93.68213644431904,94.40275838080049,223.5161269746721,0.4402012107231465,0.4506619528991255,0.8640774612050145,181.854784722656,180.20490184736252,28.101791782188414,86.46099181928612,87.4971560804635,29.342388660624177
0,64,81.92858505249023,16498.78492253893,16768.448450787957,69194.24414466943,96.28667761452868,96.84449925544858,225.80783464516998,0.4330416862876841,0.44412275164173537,0.8734968632041977,176.02998485440017,174.4237450119257,25.77098861808777,85.32011303536949,86.30489738383886,27.082486625541968
0,65,81.203857421875,15045.69570284703,15399.737359073652,68014.79989027289,91.72665815310553,92.62140815904736,223.6491986396253,0.4358698812915983,0.44675522939393264,0.8648067635413181,185.23408786824345,183.52622195208073,27.95354116296768,88.21583814270755,89.28529422031531,29.034519939201648
0,66,81.25845527648926,16458.074518447145,16737.125119753582,69242.20760753885,96.14792953707651,96.69294247713685,225.9382062346399,0.43200950338506694,0.44249389715779885,0.8736980094916844,176.18936746060848,174.55075017166138,25.628794811820985,84.51435818247106,85.48765099118536,26.391792515839928
0,67,81.30437278747559,15367.573431468822,15692.551717811635,68407.39080985573,92.83953529237583,93.56492985144257,224.36667042202353,0.43647500856926313,0.4460225655815336,0.8667333947782737,183.0255707590878,181.27780293130874,27.220698209667205,85.85529100228588,86.88563223623662,27.566999628024192
0,68,80.8260383605957,16030.921172165088,16317.201820508912,69753.30461595675,94.69913989575579,95.27570902243257,226.79172760974765,0.42842517448445433,0.43908676332991414,0.8761162942922849,178.23433515524863,176.51451377820968,24.772624083590507,85.99571693987595,86.93133289361732,25.359113747901713
0,69,80.98475646972656,15431.92912197428,15754.684608944448,69388.07460338078,92.71435378010943,93.46003130939603,226.11886915821432,0.42737652335200793,0.4387231488373749,0.8733861281219645,181.7271248562932,179.91380834162234,25.4556078827858,87.9738175485725,88.91061917780968,26.134080742228015
0,70,80.91618919372559,16305.20578707243,16598.883523076907,69829.84334121557,95.4186527719386,96.13324296584726,226.97125777029396,0.42597071915367873,0.4385424999653193,0.8770920472530531,176.29782110092043,174.56655210852622,24.590048449039458,85.97837085239665,86.9121577538384,25.287666073371664
0,71,80.46799087524414,16303.133479719882,16568.6403465834,69899.92751765759,95.44197074701265,95.96239008012414,227.16171455451845,0.42504656910006516,0.43626617240049864,0.8781416841525839,176.28031836879254,174.64579102110864,24.3902318598032,85.17982819082701,86.20123594548237,24.798931184094826
