,epoch,loss_train,mse_train,mse_dev,mse_test,mae_train,mae_dev,mae_test,mre_train,mre_dev,mre_test,pred_mean_train,pred_mean_dev,pred_mean_test,pred_std_train,pred_std_dev,pred_std_test
0,1,245.7604949951172,80238.5845645246,84432.6657040801,87337.14903707677,244.11196465983093,255.094738445282,257.25685914754865,0.9404801289194312,0.9558864674517182,0.9444201343706365,7.501934830474854,7.320081379413605,7.562050199508667,1.5973056545975017,1.274294037550849,1.318708021636051
0,2,240.2417236328125,76468.72902477479,80793.55542310729,83461.37982789971,236.74522861432732,248.27608941793443,250.02648296117783,0.904500088015498,0.9514792863692684,0.912662832274036,15.021683948278428,14.413275117874145,14.919613509178161,3.0425421078883086,2.618481960673793,2.672414971976975
0,3,230.75310974121095,70236.38689727861,74717.61330607878,76995.57652841537,224.37522811550795,236.86342025995253,237.66391678094863,0.8685408710086789,0.9773015524510202,0.8674859726644152,27.992047402477265,26.70469120502472,27.650907649993897,5.529550222767159,5.054933264504294,5.104815531675758
0,4,215.6694091796875,60696.84666695069,65062.17943387235,66770.15889960549,204.98786733202635,217.6759338927269,217.54998371362686,0.8559073809971999,1.0335945062347787,0.8284947235530729,49.53212669239044,47.73832631111145,49.41293098449707,9.244610072745603,8.676927296807127,8.70039612826967
0,5,192.55734558105468,47350.14497437474,51118.96661687602,52103.520057549176,177.26557255720795,187.81589096784592,187.55870985269547,0.9166999509599016,1.1636662015145567,0.8319714779321569,84.33614693908692,82.53794385910034,85.37563661575318,15.099062414696602,14.21268842796656,14.186315499215802
0,6,161.90075073242187,30571.486131633268,33372.98641253307,33531.43736542453,141.57950331358612,147.31767103910445,148.806434442997,1.1419317372161144,1.4851162590271436,0.9636984979312383,142.48530246276854,140.69699501037599,145.4024019241333,25.117589631691338,23.607309213757503,23.51983999759835
0,7,130.63958740234375,18306.274590065823,19796.763953989717,19497.934688234967,115.47468665404021,117.9709931063652,119.24098053216935,1.6564866661817323,2.1569859908655378,1.3451046670028393,230.73846891937256,226.68077301025392,234.15575393676758,41.29323787763883,38.22054506878486,38.006267792221344
0,8,125.22564697265625,18719.483711227553,18720.31271972785,18497.917682766154,117.05705870070159,116.84717802762985,116.23110519647598,2.0303005444520372,2.5919719286567693,1.6112992780993793,288.5481309135437,277.6216146087647,286.60993927001954,53.64498579130287,49.091836461421025,48.960556230175555
0,9,125.03632354736328,17143.55231512489,18539.57428334214,18040.298557118724,112.40262036223113,115.00714983701705,114.22345634698868,1.729852175209068,2.1882486859672867,1.3500246550295807,255.88254216156005,239.9229597091675,247.45935340881348,49.60117479373849,45.33588200766123,45.54194129919979
0,10,116.97474517822266,18382.92965311003,22239.494556939706,21735.02459942674,114.19125619215667,121.86180880308152,122.93838939905167,1.408920098777279,1.765863631186809,1.098831604268532,215.1774970588684,195.11524784088135,201.0828480911255,43.761803937673655,39.78534464335921,40.4398267396377
0,11,115.9354461669922,19079.537988398915,24825.78704879399,24305.70961134714,114.89206046080291,127.22972300291062,128.22562488794327,1.2762686654252486,1.5947246972757434,0.9906634400048202,203.20303947906496,176.93688358306883,182.2050825881958,44.33480075038303,39.37404347622575,40.47686104324194
0,12,113.1827606201172,17038.401018186672,23331.690804497295,22531.08655071105,109.58650202498139,123.24921473264695,123.61684662103653,1.29933122322745,1.6133996951898442,0.9887253425195383,221.0110512626648,185.28545375823975,190.75757331848143,52.382140577891214,45.3914430978701,46.63124510632678
