,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,104090040.0,103889416.0,11484584.0,795733.8,0.0,0.0,0.005,0.27585268,0.81658053,0.85643655,0.090951204,0.24637656,0.26636034
0,2,103882536.0,103783370.0,11438220.0,788173.6,0.0,0.0,0.01,0.45183203,1.340537,1.3950028,0.14201237,0.3872009,0.42052773
0,3,103784880.0,103703070.0,11416614.0,805226.6,0.0,0.0,0.0,0.62220806,1.8473306,1.916439,0.19236265,0.52532995,0.5722715
0,4,103696824.0,103641820.0,11416352.0,846891.2,0.0,0.0,-0.03,0.79461217,2.3598804,2.4453135,0.24590045,0.67259544,0.7333556
0,5,103639800.0,103600100.0,11437924.0,913564.3,0.0,0.0,-0.07,0.96720904,2.873245,2.974544,0.30270964,0.8302297,0.9043016
0,6,103639176.0,103580280.0,11477594.0,996364.25,0.0,0.0,-0.12,1.1254958,3.344244,3.4591367,0.35677227,0.9810094,1.067183
0,7,103547784.0,103576030.0,11528942.0,1086643.8,0.0,-0.005,-0.18,1.2653435,3.760514,3.8859134,0.40629023,1.1196349,1.2168691
0,8,103559600.0,103579160.0,11578665.0,1166876.1,0.0,-0.005,-0.23,1.3725883,4.0800214,4.2119446,0.44735596,1.2350097,1.3413785
0,9,103455736.0,103581624.0,11615552.0,1224026.9,0.0,-0.01,-0.265,1.4421192,4.2875543,4.421984,0.47726074,1.3196532,1.4327414
0,10,103487160.0,103575590.0,11630557.0,1247290.8,0.0,-0.01,-0.28,1.4691249,4.3684697,4.501125,0.4940223,1.3680147,1.4845995
0,11,103581384.0,103558010.0,11617629.0,1228042.6,0.0,-0.01,-0.265,1.4474455,4.303997,4.431024,0.49496108,1.3723773,1.4885937
0,12,103740592.0,103532584.0,11582756.0,1174736.4,0.0,-0.005,-0.235,1.3841082,4.115575,4.233518,0.48211107,1.3385092,1.4511168
0,13,103622536.0,103507710.0,11541396.0,1108969.6,0.0,-0.005,-0.19,1.2999485,3.8644514,3.972713,0.46207622,1.2841815,1.3913512
0,14,103446688.0,103487384.0,11505536.0,1049233.1,0.0,-0.005,-0.155,1.2165138,3.6156096,3.7140536,0.4421013,1.230263,1.3318961
0,15,103420328.0,103470940.0,11477249.0,998715.8,0.0,0.0,-0.125,1.1392002,3.384697,3.473983,0.42401403,1.1812832,1.2779905
0,16,103664440.0,103459224.0,11453192.0,951811.75,0.0,0.0,-0.095,1.060241,3.1486094,3.2288752,0.4045787,1.1283495,1.2203006
0,17,103657824.0,103452880.0,11435318.0,912711.1,0.0,0.0,-0.07,0.986881,2.929019,3.0006258,0.38692257,1.079521,1.1673
0,18,103474760.0,103445896.0,11424964.0,887298.0,0.0,0.0,-0.055,0.93471456,2.7720912,2.8369522,0.377838,1.0544956,1.1397086
0,19,103387568.0,103433160.0,11421162.0,876731.44,0.0,0.0,-0.045,0.9122884,2.7038293,2.76406,0.38083306,1.0635772,1.1484588
0,20,103326432.0,103414080.0,11422071.0,878465.7,0.0,0.0,-0.05,0.91692466,2.7158334,2.7741656,0.39559424,1.1056565,1.1922164
0,21,103418736.0,103390776.0,11426689.0,889960.8,0.0,0.0,-0.055,0.9421534,2.7891529,2.847038,0.42024708,1.1759107,1.2657665
0,22,103325720.0,103362240.0,11437330.0,914425.06,0.0,0.0,-0.07,0.9902823,2.9311619,2.9897268,0.45628205,1.2784095,1.37396
0,23,103460240.0,103333820.0,11453036.0,946060.6,0.0,0.0,-0.09,1.0462345,3.0968919,3.156541,0.49676102,1.3934698,1.4958405
0,24,103415040.0,103309640.0,11471988.0,980379.2,0.0,0.0,-0.11,1.1002867,3.2567596,3.3170173,0.5386714,1.5122979,1.6214792
0,25,103348688.0,103283780.0,11487654.0,1005386.4,0.0,-0.005,-0.125,1.1362717,3.3621795,3.4213703,0.57426935,1.6126146,1.7276547
0,26,103600512.0,103252090.0,11490386.0,1003357.06,0.0,-0.005,-0.125,1.1320984,3.3469968,3.4024081,0.5935694,1.6666498,1.7842488
0,27,103259272.0,103218380.0,11489002.0,992220.8,0.0,-0.005,-0.12,1.115131,3.2930844,3.3441546,0.6078112,1.7059109,1.8255364
0,28,103224232.0,103185090.0,11485851.0,975286.94,0.0,0.0,-0.11,1.0898243,3.213594,3.2600434,0.61822027,1.7342148,1.8545387
0,29,103080528.0,103150024.0,11485623.0,962100.25,0.0,0.0,-0.1,1.0690634,3.1471722,3.189404,0.6315468,1.7701095,1.8923006
0,30,103048624.0,103110860.0,11494565.0,966382.94,0.0016666666666666668,-0.005,-0.105,1.072974,3.1549537,3.1940403,0.66016656,1.8492813,1.976615
