,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_rel_error_train,mean_rel_error_dev,mean_rel_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,224.28160095214844,67751.06227645518,94776.83411182559,95631.09558020683,223.99964962999027,271.41314200758933,280.2248797416687,0.9738766979376461,0.9833498547445428,0.9832922752407501,3.111155015230179,2.807143598794937,3.1500767707824706,0.9402003576790036,0.8206614310967856,0.6973582846584705
0,2,223.85340881347656,67514.07469130211,94469.82406599892,95383.94708583216,223.48666606346765,270.979566603899,279.6920966088772,0.9699769632557407,0.9808371466044475,0.9806783630089791,3.624138581752777,3.2407190024852754,3.68285990357399,1.0974547827957863,0.9655255126167289,0.8516026957428625
0,3,223.2686004638672,67257.31832174052,94143.95589111511,95117.7540651846,222.92846537629762,270.5138983428478,279.1202721953392,0.9656882153163736,0.97814060095836,0.9778530630493455,4.182339268922806,3.7063872635364534,4.254684317111969,1.2674631109041148,1.114323747482835,1.0087167106381911
0,4,222.75770568847656,66971.44672723868,93792.15821647244,94828.69161921213,222.3038958311081,270.0039612531662,278.4985561847687,0.9609209654160303,0.9751391279303807,0.9747902205931354,4.8069088141123455,4.216324353218079,4.876400327682495,1.456980358731101,1.2833698616369922,1.1764907128474262
0,5,222.2699432373047,66660.51933237197,93397.1311259889,94514.19796242296,221.61929553747177,269.4463038802147,277.79974925518036,0.9556263534825903,0.9718702882976015,0.971363154930569,5.4915091077486675,4.773981726169586,5.575207257270813,1.6606896007289824,1.4678447254108562,1.3634422745788177
0,6,221.46414184570312,66321.08317251995,92966.7360266644,94170.25156848041,220.87054842710495,268.83476082086565,277.030375957489,0.9498448136130102,0.9683127720266702,0.9675247976687082,6.240256218115489,5.385524785518646,6.344580554962159,1.8814997323671692,1.664719835110297,1.5712917494999126
0,7,220.62387084960938,65951.1293140895,92501.55615259605,93789.95762418093,220.0496286392212,268.1636092662811,276.20038616657257,0.9434031505876957,0.9644472044553112,0.9633599205500121,7.061176005999247,6.05667634010315,7.174570345878601,2.120797621038757,1.8674820788267652,1.790865236432677
0,8,219.72882080078125,65549.51265913158,91999.52324538927,93372.36966780493,219.15468512376148,267.42067846059797,275.2975439310074,0.9363468132021352,0.9601604305737172,0.9587012271299342,7.956119521458944,6.799607145786285,8.077412581443786,2.3794105627999724,2.0808263159270495,2.017666189743989
0,9,218.96543884277344,65115.16856107173,91452.58104913727,92921.53695394125,218.18198462724686,266.61245036125183,274.3111105322838,0.9286232516234526,0.9554761119802437,0.9536065773339175,8.928820017973582,7.6078352451324465,9.06384598016739,2.651005744677884,2.313144887693601,2.259019908709846
0,10,217.97238159179688,64644.79353242205,90858.67888782783,92429.60174268758,217.12174197038016,265.72320010662077,273.23466501235964,0.9200405228703327,0.9502889070856133,0.9480568428433056,9.98906267484029,8.49708549976349,10.140291500091553,2.936997331967236,2.5642500748903534,2.523173534011529
0,11,216.91612243652344,64132.292400757215,90208.93352747548,91890.96419833318,215.96062778631847,264.7472135066986,272.05448682308196,0.9105027370377222,0.9446049187374651,0.9419871469890921,11.150176858901977,9.47307209968567,11.320469689369201,3.2425564635024613,2.837454411063358,2.8159163463274677
0,12,215.75225830078125,63573.6751890884,89500.62785143733,91296.02101512984,214.68888657887777,263.667041683197,270.76291196346284,0.9000522633591896,0.9383306740275401,0.9353467519993603,12.421918066342672,10.553243923187257,12.612044548988342,3.574695070193645,3.135402214130615,3.1311952636236406
0,13,214.70834350585938,62961.75890204315,88724.31961194398,90642.82072613205,213.28904914855957,262.47618877887726,269.33991198539735,0.8886884096730433,0.9314163278293363,0.9279896139839199,13.82256608804067,11.744096827507018,14.035044527053833,3.9411555802774854,3.466041785074343,3.4741651872728263
0,14,212.9632110595703,62290.84854070169,87870.52697002995,89927.98022301646,211.76545039017995,261.1655108690262,267.7710609436035,0.8799417609208567,0.9237945480036325,0.9198976278746915,15.37073270479838,13.054774737358093,15.603895568847657,4.354851109728847,3.8295679170736303,3.842441405718471
0,15,211.76229858398438,61553.05783917456,86930.9861235664,89139.25067905117,210.0811421553294,259.7092882871628,266.0351204156876,0.8703160354700052,0.9152408458864303,0.9109751697101588,17.08180253505707,14.510997319221497,17.339836096763612,4.818061678043281,4.23859759660506,4.246118210323081
0,16,209.9501190185547,60740.185586123,85897.91677883222,88271.32859267978,208.21068347295125,258.09314420223234,264.1161193370819,0.8596236414823336,0.9057119615053374,0.9011759649533564,18.98133377234141,16.127141404151917,19.258837175369262,5.337843916044379,4.696087742746635,4.6934084400772305
0,17,207.94308471679688,59845.623236361105,84760.15468875688,87312.26114520544,206.13437632719675,256.2956733226776,261.98649473190306,0.8477783793182448,0.8951155939315554,0.8903177387106396,21.089650042851765,17.924612283706665,21.388461780548095,5.9169737257114585,5.207424052033202,5.190927988228046
0,18,206.2388916015625,58862.02945859792,83510.06107626253,86255.60468441775,203.8257727543513,254.29549140930175,259.6249476909637,0.8345896388359493,0.8832952888979639,0.8782798031018937,23.433388725916544,19.92479419708252,23.750008821487427,6.564289818178243,5.777986230226839,5.743199275192877
0,19,203.84512329101562,57782.46689917216,82141.57290505359,85094.02145650711,201.25597964127857,252.07646589279176,257.01496291160583,0.8198576671954648,0.870160289978168,0.8649650047607544,26.042139371236164,22.143819713592528,26.359993600845335,7.284128903097937,6.413736608219256,6.350109942283905
0,20,201.07188415527344,56600.201334991885,80634.84844777864,83816.35404297028,198.43944569428763,249.6146065711975,254.11083288192748,0.8049180485513622,0.8556083944642277,0.8501752249076748,28.942825698852538,24.605679035186768,29.26412363052368,8.089356179752398,7.122315652489629,7.020724742103947
0,21,198.06752014160156,55308.96427307401,78978.85805090234,82417.86717497489,195.36559975147247,246.89113626480102,250.87512788772582,0.7902910849537391,0.8394980361635433,0.8336891692595035,32.1667398929596,27.329149341583253,32.49982862472534,8.988478396460222,7.9031487095650546,7.770433596818489
0,22,194.94595336914062,53904.0461208752,77162.19230980625,80882.60418573013,191.95727837085724,243.86207547187806,247.2688271045685,0.7740996827652595,0.8216058105620132,0.8152802433840393,35.74209135373433,30.358210134506226,36.10612940788269,9.985456670359385,8.77791953829263,8.617656022027793
0,23,191.40541076660156,52378.49693928708,75171.9647324768,79199.30949968338,188.17791748841603,240.49526147842408,243.2458432197571,0.7562112696975242,0.8017524657254895,0.7947526026829388,39.707622369130455,33.725024127960204,40.12911329269409,11.0949002085242,9.75098255903778,9.578612284563246
0,24,187.8802947998047,50724.8117807346,73004.47033700268,77352.54600308005,183.98344097932178,237.1460418701172,238.7795166015625,0.7364183815447203,0.7889161087191833,0.7719084134932677,44.11442772547404,37.46963405609131,44.59543991088867,12.335164170366731,10.836906822931693,10.640632609330561
0,25,183.9751434326172,48937.34345373368,70653.6515633208,75337.96346760608,179.33005667527516,233.5119815826416,233.99122381210327,0.7147518175137322,0.7765854590254821,0.754606953822188,49.01218852996826,41.621888160705566,49.54403009414673,13.726549232996975,12.046111117049897,11.810439842523948
0,26,178.93174743652344,47020.32937123482,68111.96985720872,73154.31097179117,174.34082953929902,229.49935131073,228.7463822364807,0.6977095305370733,0.7630279018813747,0.7384010276879834,54.43323036829631,46.21123352050781,55.024952030181886,15.26982275285378,13.3828951858322,13.114745654576705
0,27,173.7855682373047,44981.22864957633,65381.62441038443,70793.17312560462,168.8428393761317,225.06055059432984,222.96092395782472,0.6791003923831507,0.7479564738880848,0.7206079749212784,60.41468756993611,51.27800168991089,61.074510383605954,16.968486131543365,14.856825763492328,14.558351406607683
0,28,168.32510375976562,42825.64525957307,62468.51034885213,68256.02922050745,162.89206918875377,220.16842651367188,216.6016649246216,0.6600819999312688,0.7313215244017259,0.7011136665584863,67.00460271835327,56.86102848052978,67.7266939163208,18.840629312086353,16.475494937846182,16.144606221802285
0,29,162.96572875976562,40565.710919382334,59377.93827493014,65548.40677183622,156.79929403463998,214.79315824508666,209.616388130188,0.6454644117512088,0.7129995691618397,0.6797255423554627,74.24616543451945,62.99388570785523,75.03545665740967,20.895873102637413,18.244176747373576,17.882907772459617
0,30,155.54757690429688,38215.56562107957,56122.321636333094,62669.798241967525,150.9409072637558,208.89195194244385,201.9614637374878,0.6396418416392041,0.6929318109402979,0.6563128401343143,82.19651362101237,69.73424453735352,83.04661769866944,23.145674259548844,20.179495550622644,19.78627573909698
0,31,150.10850524902344,35801.32106406437,52719.440735448254,59636.414268795095,145.0792647441228,202.441090965271,193.596177482605,0.639554028523778,0.6709642329504659,0.6307244283468472,90.88895537058512,77.10149421691895,91.80087947845459,25.597478278974375,22.292929665022132,21.865473115449632
0,32,146.64834594726562,33355.671147082794,49198.79178270079,56460.40857997193,139.62994929154715,195.3965139389038,184.49241695404052,0.648704824938034,0.646930069677302,0.6030045038616401,100.35953305562337,85.14168357849121,101.33347835540772,28.2603599770234,24.594744280567824,24.120708244134445
0,33,139.48873901367188,30921.366021026024,45604.41309073024,53175.58411433662,134.36527154445648,188.07380504608153,174.64280452728272,0.6650918706424054,0.6235285602386481,0.573141624062454,110.62393639882406,93.85432929992676,111.65213413238526,31.151045730754777,27.091392092135518,26.562791241319044
0,34,132.75975036621094,28571.080207215466,42017.26044394336,49853.91734018478,130.459925754865,181.2208480834961,164.49180202484132,0.6961169077923953,0.6074143839563764,0.5439386868197995,121.57904771169027,103.1478754043579,122.66746730804444,34.2269227087952,29.74206519044206,29.16751778494947
0,35,131.25076293945312,26393.5509860948,38554.24206999842,46589.42381875188,127.13441134293875,174.5458387374878,157.58384628295897,0.7336270416834388,0.5984563945091005,0.5411076473749927,132.99368273417156,112.84190635681152,134.13948593139648,37.4180293309504,32.49704334312262,31.874742928492786
0,36,125.44792175292969,24394.63486240929,35196.94245223602,43361.8339796507,124.10180413722992,168.28663482666016,151.39699783325196,0.7769129830585987,0.5959167821548724,0.5455457871758844,145.05715656280518,123.09180698394775,146.2592300415039,40.78362408397637,35.403550657426145,34.72432651661832
0,37,124.96697235107422,22660.111827170327,32060.88161347819,40268.53049901719,121.52266290187836,162.79238567352294,145.0181121826172,0.8255326956124897,0.6039875618135163,0.5501291275765604,157.47467492421467,133.66429405212403,158.7291229248047,44.2512492020803,38.40888099394867,37.64819413911689
0,38,123.21229553222656,21208.786003176392,29152.085910828395,37317.055514136315,119.76590637365977,157.099928855896,139.04290924072265,0.8797424313650775,0.6123956445725277,0.5579956611890842,170.3413289388021,144.6160488128662,171.63652114868165,47.848810272874,41.525923701083414,40.67833881285821
0,39,120.90507507324219,20113.549943974343,26594.199467643666,34632.31621842515,118.84638809363047,151.4240556716919,133.9404438018799,0.9369539031129802,0.6208263731988496,0.569962108888944,183.14710795084636,155.53571243286132,184.50311470031738,51.4483586838344,44.664780337841805,43.73495658323661
0,40,118.1111068725586,19376.182978466222,24432.85805757695,32259.235369412323,118.55358744462332,145.9140474319458,128.94393920898438,0.9948914778270775,0.629404786151093,0.5815358874655419,195.65806401570637,166.21426010131836,197.05265045166016,54.96807829322041,47.742734657021295,46.72917427753684
0,41,120.86222076416016,18971.18254354964,22609.289639623363,30144.079304719005,118.63413719336192,141.95418949127196,123.94710998535156,1.0532441316004593,0.6465928102580446,0.592811364337893,208.09951311747233,176.83098220825195,209.53578262329103,58.49006434373049,50.81301572201088,49.74342674976903
0,42,117.56336212158203,18891.883281479422,21159.772566870033,28340.34176881276,118.93601847489676,138.98452587127684,119.75026435852051,1.109972026325869,0.666799540163996,0.606196348783956,220.08099568684895,187.05426063537598,221.55492210388184,61.90080841056461,53.79628343047633,52.67393817997187
0,43,121.21055603027344,19071.022376821853,20137.418417981706,26947.514030532806,119.76188453833262,136.76731395721436,118.06021537780762,1.1615494091252072,0.6884959699605331,0.6248963136991936,230.5647123972575,196.01466178894043,232.06285820007324,64.91270769032677,56.4356367593607,55.25815488755655
0,44,120.21553802490234,19384.270714587587,19472.939866566685,25939.522646187397,120.65665725866954,134.9774667739868,118.25667762756348,1.2034410924305388,0.7063724303987893,0.6462367177423032,239.0803301493327,203.3152976989746,240.6033000946045,67.36904773455387,58.58877198808616,57.38048521676887
0,45,124.1895980834961,19657.16556977765,19115.19322483879,25346.892315824494,121.21914797623953,133.79981632232665,118.49635238647461,1.22902914255378,0.7177676204592545,0.6602580207473576,244.5530300140381,208.04218444824218,246.09087677001952,68.97881430804574,60.0161485232993,58.789217334671356
0,46,120.10713195800781,19805.59033199881,18946.36683809241,25058.38770717437,121.56278035640716,133.17375965118407,118.57820663452148,1.2404516960479828,0.7234406421672199,0.6670132372465363,247.30974985758465,210.4676872253418,248.8658546447754,69.8241014951642,60.77141037716029,59.54687812273933
0,47,120.74311828613281,19827.109948252637,18884.016098689226,24974.339487364934,121.5800154129664,132.96444339752196,118.53550758361817,1.2409276320133498,0.7248823846613963,0.6682726350677964,248.0469123840332,211.17699432373047,249.61096839904786,70.10166527899618,61.0325014795611,59.82015111263705
0,48,119.20198822021484,19702.234320678443,18927.544735958047,25100.154692232194,121.2517850001653,133.20532398223878,118.36428565979004,1.2298759973645759,0.7217717829596944,0.6637632859072424,246.60700085957845,210.0333625793457,248.1794292449951,69.74403666040251,60.73291367952367,59.54652734667384
0,49,124.09230041503906,19486.56810704563,19064.5805425106,25390.15586969467,120.68998245398204,133.77403202056885,118.09918746948242,1.210418272441673,0.7152645847444604,0.6549421646047578,243.56536076863605,207.5234588623047,245.1431442260742,68.93025976478526,60.02829452792951,58.88174510798267
0,50,121.20763397216797,19249.707855263536,19283.8742588459,25787.693315739507,120.16147433121999,134.52353496551513,117.80074844360351,1.186856334005541,0.7068677919495989,0.6438256060549187,239.6360703786214,204.25955238342286,241.2132797241211,67.86614139502983,59.09741451885837,58.006264490973834
0,51,115.24363708496094,19001.96164610605,19629.141208863068,26348.739407574234,119.50742820898692,135.52731533050536,117.44676055908204,1.157286723739844,0.6960367999850505,0.6297084245535706,234.5254695892334,199.97744941711426,236.09819717407225,66.46361959639479,57.86354863246025,56.83363497520939
0,52,119.91751861572266,18814.161746924066,20019.76292703994,26937.21846714155,118.86746162573496,136.50894184112548,117.41454963684082,1.1283618924759828,0.6853480849294596,0.6172613252431328,229.5190143585205,195.77599639892577,231.08714637756347,65.08512110042162,56.64709223683831,55.69846071305814
0,53,120.12881469726562,18670.899359550385,20526.643759329483,27648.908257360243,118.33458809057872,137.8211881637573,118.18690490722656,1.0970065963527849,0.6754537957713136,0.6063883993343644,223.9071023305257,191.0450695037842,225.4461212158203,63.528360799543364,55.27265941956022,54.41083458875205
0,54,126.17699432373047,18595.452689302005,21119.122332959614,28430.415210125335,117.86537969112396,139.23120212554932,119.32494163513184,1.0650974142314689,0.6659223310998353,0.5963767350242976,218.1519317626953,186.18055114746093,219.66940956115724,61.94645836530991,53.86588238343012,53.09937220144026
0,55,118.33919525146484,18591.130689070815,21785.951096495563,29272.538973709896,117.44275739192963,140.66390705108643,121.0841049194336,1.0331690276973051,0.6562989339288989,0.5883974458102904,212.34295438130695,181.2701202392578,213.8441131591797,60.35971732878443,52.46186942087756,51.784944463460796
0,56,117.34611511230469,18655.353169932725,22499.4704114141,30141.258415109478,117.3106317917506,142.0562177658081,123.25863952636719,1.0036567541526287,0.6469997243161292,0.5826923329978293,206.71849276224773,176.5106388092041,208.19272994995117,58.83351595794028,51.11590513633571,50.52062804198285
0,57,115.70999908447266,18772.461615632477,23206.321407741245,30978.031243388577,117.1883796453476,143.40533084869384,125.23374633789062,0.9763652099471124,0.6388430980169632,0.5773518606857622,201.57477353413898,172.16212692260743,203.02492141723633,57.44590510691358,49.899867169436305,49.374028214007936
0,58,116.30037689208984,18918.578928349136,23864.163440703756,31738.015437240898,117.07385213375092,145.02358722686768,126.9420555114746,0.9523089729279387,0.6337464705130496,0.57261356918819,197.10209376017252,168.38954238891603,198.53252563476562,56.25126784058314,48.8613054347277,48.390779488080575
0,59,118.68841552734375,19085.918926979703,24495.080537865953,32451.857168750685,116.96238159338633,146.58466777801513,128.48303260803223,0.9303303601278926,0.6297714688380662,0.5682604382166729,193.05121434529622,164.97146644592286,194.45980644226074,55.175021747915466,47.92847916171904,47.503722881846926
0,60,114.69554901123047,19244.390582235977,25033.70910910875,33052.75543688367,116.8520744085312,148.04103870391845,129.72402954101562,0.911815274757486,0.627718624598585,0.5645660453887407,189.72352205912273,162.1789779663086,191.11475677490233,54.295875063040064,47.17404729571294,46.78533569445595
0,61,116.74625396728516,19390.788674796684,25494.186857278408,33561.57269324669,116.82974533240001,149.24874629974366,130.72825317382814,0.8962294386347661,0.626051200344253,0.5613205454246835,186.95457305908204,159.87082557678224,188.32499084472656,53.583809872287326,46.5630894082064,46.19842934614108
0,62,119.19554901123047,19540.674197073517,25938.21143295282,34044.4905480472,116.83680977026621,150.37370586395264,131.66258659362794,0.8817059737933975,0.6245038659890558,0.558286698131752,184.36302731831867,157.71678886413574,185.71672554016112,52.91878233810961,45.99433563275213,45.64618997173393
