,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,248.1835734049479,79919.42273603329,80833.33597574141,82589.07166063762,244.16243969301593,248.6186747019887,244.91863208977878,0.9692404309616369,0.9794440181553363,0.9807173615247011,0.39920098882213156,0.4116996726572464,0.4109530759845192
0,2,247.56797790527344,79547.24509936092,80452.90295905569,82207.32351619613,243.4189522039114,247.86857989756763,244.1698259948194,1.716270922080559,1.7328081614822148,1.7334048373103141,0.6353826078901811,0.65644549521209,0.6552095328597293
0,3,246.69202677408853,78991.8218968547,79885.52665587275,81637.5627071113,242.31412040614404,246.75005170801282,243.05241656418144,2.831534239299157,2.8575212975740434,2.8583934279233216,0.9785674137933693,1.0100582248851018,1.0104390945775976
0,4,245.40614318847656,78180.02787407798,79058.37151283502,80807.33977180644,240.6917105261706,245.10768832445146,241.41578781181573,4.473777107769201,4.511669809371233,4.511563600629568,1.502305853834104,1.5569198278432688,1.5531432093995743
0,5,243.58981323242188,77061.10072606099,77919.6700626619,79663.5850533764,238.45029937810884,242.82972862562536,239.15406665948032,6.757360795966718,6.811064735472202,6.809366402745247,2.226681694501436,2.3140139710262817,2.3040314180302155
0,6,241.01415506998697,75524.67379616768,76355.90403970356,78094.03664877579,235.36096645556702,239.70317608550192,236.0306327623427,9.929790702437153,10.004384669661523,10.003146743059158,3.226886842147974,3.3551635498448222,3.3423630112553586
0,7,237.4915771484375,73381.43331746248,74174.93590908743,75906.4807214764,231.02746456351224,235.31681081059574,231.64435017719865,14.431755295946818,14.534527347445488,14.534358760118485,4.656250741237619,4.84362813527345,4.828630141222744
0,8,232.42261759440103,70317.50399359518,71058.03548273334,72777.1120541806,224.82086342426032,228.9867202922404,225.30449919286372,21.03640119192981,21.184496612310408,21.179522575378417,6.756860181740612,7.037913602780481,7.011880292956434
0,9,225.46570841471353,66084.29351748603,66754.85401762169,68456.53251708564,216.11580193146062,220.12429886212945,216.47970555272698,30.512270866071475,30.725150964021683,30.70893426322937,9.749782756869138,10.160442390324176,10.118515156668423
0,10,215.4919637044271,60234.42942462402,60812.92307383153,62495.429202025196,203.80317829314527,207.71108510866762,204.1060471498072,44.37002695308012,44.65880086231232,44.63889353132248,14.057704213537251,14.647873267353628,14.596586588013693
0,11,201.75500996907553,52536.0924273983,52999.79466431069,54648.56366951866,187.55581647085668,191.50253068056702,187.65274748387932,64.31107572347176,64.70461940193177,64.68127756118774,19.968793043667446,20.780642661679135,20.73547596751199
0,12,184.07222493489584,42937.832458392826,43258.21996498198,44864.141917492554,167.0295623148001,171.37959571257232,167.17650723329186,93.05066923433994,93.56874519824981,93.56972362232209,28.239947210939444,29.347051607333963,29.305454098840155
0,13,162.54073588053384,32289.2440008863,32441.157880221035,34000.974920957895,144.57598628394868,148.71112554064393,144.92258915391565,134.1213408598379,134.77154773521423,134.90473274707793,39.6826293521468,41.17904400440575,41.165150990079766
0,14,141.07801310221353,23473.594236209607,23481.602463518753,24937.683175885926,127.34091193012956,130.8198151539862,126.88161635556817,191.025626453031,191.87657007026672,192.2299356536865,54.99782983134812,56.986537650807506,57.035576520805016
0,15,127.07726796468098,21898.987779051156,21900.24554451717,23103.168129494254,125.15644434398087,128.59127539148926,125.15991956678033,259.624202559976,260.6021185836792,261.41615754318235,72.61139418601348,74.95139975117262,75.2504257013411
0,16,130.66016133626303,25167.643252290058,25210.290716467054,26148.374165234425,132.63419034178642,135.51679733744263,133.57508790937067,298.24293101735475,299.03107880020144,300.51535647964477,81.7909903944398,83.81495218560978,84.51742445440516
0,17,135.2582244873047,23267.158595384586,23224.991396586254,24217.516555292186,128.41327845827996,131.50935715189576,128.8665425068438,283.9978541566544,284.45842894363403,286.28565037918094,77.60714794059828,79.06837937661842,79.96645817081264
0,18,129.15460968017578,20853.231250579403,20713.355274617486,21946.569241050754,122.77053853722305,126.02709611597658,122.26742047849298,248.8123249847348,248.99234582519532,250.87583923339844,68.20213127958877,69.1669191592099,70.08996586148754
0,19,124.33445739746094,20922.870783318347,20745.978345484556,22193.11337676613,122.14854224667955,125.3674600609839,121.51883287015558,218.4625573038053,218.44373956298827,220.3119294052124,60.123291276150255,60.71960033472016,61.62124577450127
0,20,124.23257954915364,21785.476517837596,21596.43477932373,23168.18658365609,123.42594939598642,126.92552090349794,122.91484665074944,201.66220237026695,201.49622109794618,203.4082739391327,55.6898433979759,56.01847625661459,56.92478032358559
0,21,125.97624206542969,21999.84098763996,21791.57105195983,23411.086082042522,123.7016058677197,127.30622243013978,123.16395306935907,198.01375399918115,197.70047930336,199.76351076316834,54.84294727665106,54.95467494220436,55.91169445152277
0,22,125.68927256266277,21433.97652749722,21194.788547448334,22797.433918507028,122.58365796271617,126.06200295343996,122.00128256955743,204.71362675538583,204.24862631225585,206.55872275161744,56.84552795143125,56.773281479431354,57.81360328828349
0,23,124.3303451538086,20686.03123593932,20414.381540438273,21947.74831664873,121.26365553709765,124.57624238672852,120.58370293393732,217.48149000696776,216.85647895812988,219.47481351470947,60.53487468779546,60.29681832771186,61.44333815232736
0,24,123.25449625651042,20280.05531723548,19983.168910955716,21419.91105354725,120.736541576527,124.01051723185182,120.03141017308832,231.43165149408227,230.6561066017151,233.5791454105377,64.56383690218014,64.17818222146934,65.41444369648806
0,25,122.89235941569011,20236.192903724106,19924.051676262017,21285.468287121457,120.83319302645175,124.11526805582642,120.19324436536431,241.0327396452928,240.14065169143677,243.29111584854127,67.39380551619269,66.88990696598033,68.18586348875924
0,26,123.52405293782552,20216.811234814024,19895.172751853293,21250.37848864867,120.7632978751692,124.07217170801759,120.13924224820732,242.350690350813,241.38467796325685,244.62359339141847,67.8933527884289,67.3156633240075,68.62497481223227
0,27,122.8785171508789,20148.353040179245,19822.753647959624,21229.789712637925,120.47274962471438,123.77811835184693,119.80446170392632,237.1190434063182,236.11304229354857,239.32803313827515,66.56919850999289,65.94992301300094,67.23806304341161
0,28,123.0740966796875,20166.66591923144,19840.95223750802,21316.583603105373,120.27459546175449,123.61762348261476,119.54142707410455,229.74586810384477,228.71573957061767,231.8677647895813,64.63174135577204,63.980236809090584,65.23357662290144
0,29,122.2664057413737,20256.80043498945,19935.611680850885,21462.331814014473,120.26388740016758,123.64786999216676,119.4956893440783,223.86096719533455,222.81093951797484,225.90565065574646,63.02715962048413,62.350472169467146,63.57966350404058
0,30,122.7649408976237,20301.826061947188,19986.237891285302,21533.731295876172,120.24164347566601,123.68296030130982,119.49275082364679,221.20038196018763,220.13150517654418,223.1969055252075,62.25369120019524,61.5611501026567,62.77962705591562
0,31,121.79786173502605,20228.32251817455,19916.822118283915,21451.869372611196,120.08826413353076,123.53187039461731,119.36548753705621,222.31465523383196,221.22368624687195,224.29696120071412,62.471600546237774,61.763388986001296,62.9885740698614
0,32,122.66171264648438,20100.499629080638,19791.36325560431,21295.41750649277,119.88126578529467,123.30947446528077,119.1949526821673,225.53374131587373,224.4192735595703,227.52223223114012,63.240982214348485,62.517265883355634,63.75765569795581
0,33,122.05869801839192,19994.046489291475,19688.629848498615,21160.752441983997,119.7123517136426,123.14265361109376,119.08815062299371,228.73871812099168,227.6025201187134,230.73415896224975,64.00815762023241,63.26942096163574,64.5208281807179
0,34,121.8944600423177,19919.36133050551,19618.71709374907,21065.540270470257,119.59066367427967,123.028605145365,119.0210903660357,231.09530790513304,229.94551194381714,233.0904676551819,64.53710979080225,63.789103061713156,65.04269252761513
0,35,121.79781850179036,19870.109930837145,19576.044592118196,21009.432087881243,119.47846808231303,122.93076255884766,118.95527309766412,231.9727156843458,230.81734455871583,233.95525171279908,64.66130032811249,63.906921840968586,65.15708410488698
0,36,121.69845581054688,19843.873920020513,19557.95614408074,20994.202055178834,119.35451683154753,122.83346128168702,118.87114798894524,230.9865148588389,229.82890397644044,232.9341263141632,64.29489067494673,63.53508329372413,64.77510236351797
0,37,121.4474385579427,19844.075913012995,19565.700407472952,21017.830718414567,119.23880195295234,122.76501508799196,118.78304584661126,228.65628656219033,227.49207288742065,230.55550320625306,63.60506914560223,62.833777161455345,64.0583121856328
0,38,120.85837046305339,19832.23976538027,19559.339025600508,21018.95701341972,119.12571618815555,122.6973679818213,118.70790484586358,227.42948289278175,226.2474094390869,229.2889691696167,63.240566508822184,62.448286891798766,63.6615792152975
0,39,121.68097432454427,19802.781440679304,19532.816237944575,20992.63517142714,119.00195205390078,122.60496330347657,118.62680076947808,227.15299003665186,225.94355751800538,228.98630548477172,63.17199314622597,62.353493318114886,63.55282642384862
0,40,121.39358266194661,19744.88576200916,19480.194727107017,20927.02256223224,118.86934075513933,122.48111290827393,118.53535667768121,228.1128406043814,226.87898932647704,229.92465664291382,63.416145014652045,62.57531844814588,63.76833528803788
0,41,120.43742116292317,19690.635267543625,19431.040980161197,20867.367076711886,118.73782589333523,122.3609946602881,118.44169457784295,228.9605827091121,227.69396839141845,230.7461695842743,63.67763371688399,62.812370966051404,63.99771844999179
0,42,121.15391031901042,19654.27012576651,19400.03986632421,20835.961408323095,118.61184973354224,122.2628487290442,118.34739399114251,228.87334669938608,227.57492402267457,230.6163520679474,63.70467539838765,62.82395445151679,63.99852119421441
0,43,120.26724497477214,19636.88553769533,19386.051522237685,20830.038624727003,118.4909751322903,122.18178960886597,118.2563377224505,227.9347276908009,226.60074032974242,229.62835004425048,63.54006108270945,62.639774201066075,63.807783325990485
0,44,120.56449635823567,19626.606922234136,19379.926584021072,20835.25969194082,118.36836559109453,122.10339241877199,118.17633887067437,226.68980132431543,225.3157648086548,228.334920337677,63.30849399272525,62.39271986674855,63.54171351164079
0,45,120.46743265787761,19589.998157296654,19351.37175683935,20804.050651296187,118.22843964638956,121.98971844568848,118.08329828992485,226.51130047966453,225.1048966217041,228.1084586982727,63.31959509335621,62.385026301097774,63.52138501572616
0,46,120.62717183430989,19550.043746275718,19320.293718980618,20767.465903331227,118.0844661516114,121.86700887957215,117.98827067914605,226.45573971852534,225.0147384853363,228.00535844802857,63.36138468967321,62.405557458576055,63.53329818773659
0,47,120.37384287516277,19503.495877326866,19283.00401921844,20720.522276110532,117.9362931920513,121.73170534983278,117.89176771512628,226.65524019914514,225.17950119400024,228.14904123687745,63.45719808802387,62.47710225461185,63.60003774840625
0,48,120.13240051269531,19478.858254798422,19265.83280561483,20703.643257073127,117.80302552293453,121.62088965120911,117.81056475415826,226.01971345188238,224.51733202552796,227.44729612350463,63.375466579147385,62.37763177292222,63.4765499333191
0,49,120.01676177978516,19457.980565632806,19251.335891127208,20692.464285138005,117.67014877012923,121.51654326334595,117.72370268025995,225.2945641730012,223.77284621810912,226.65835146141052,63.27913952380254,62.27573480275876,63.351014313097586
0,50,119.61665852864583,19412.23304248027,19212.837168784146,20649.561483088262,117.5148431521316,121.37556446161867,117.61538608518242,225.45098645546858,223.90822034454345,226.75517307281496,63.42047805817585,62.409841261855355,63.468332784301744
0,51,119.35522969563802,19377.261311434606,19182.10319185177,20620.97549333097,117.36876326927744,121.2449864090979,117.50912588468194,225.3120349154753,223.74057007217408,226.5460950088501,63.56396532288897,62.535084545244,63.56726728688567
0,52,119.48831939697266,19366.370892915304,19177.227791685596,20625.459837045575,117.23355369686203,121.1425079087317,117.42559369435907,224.36269351013567,222.7768091621399,225.53670383262633,63.534012426584454,62.49357971559059,63.492719750952276
0,53,118.87399546305339,19346.376746526745,19166.107914003493,20618.746212791102,117.09850836279136,121.03676408854128,117.3437706181109,223.77692392293145,222.17821313858033,224.8970555458069,63.60132615338287,62.5519600241631,63.526443898271374
0,54,119.14452616373698,19263.66228591703,19090.273604298818,20528.649974697957,116.91115833609169,120.8390501050055,117.18337195554376,225.27376346828558,223.66751786231995,226.35640700912475,64.21833973877253,63.16422832842183,64.12260777083608
0,55,118.4304682413737,19226.18737097117,19055.049387247713,20495.265262618545,116.7644607147061,120.69674817743898,117.05264133420586,225.38786526287302,223.76488975524902,226.42861600494385,64.51558474694353,63.449387209768126,64.38365679994547
0,56,118.43106079101562,19240.743960308275,19077.403499535652,20530.47416218294,116.67106790580794,120.63796747675538,116.99147488179803,223.74069421431597,222.11766067504882,224.72576719093323,64.29363657480435,63.22877346109599,64.14510322128413
0,57,118.43634796142578,19225.002172378052,19071.81927212771,20524.95590905361,116.55997669875246,120.55028020754456,116.90795799031854,223.01864522845804,221.39528962135316,223.92907905769349,64.18079433819925,63.111842924170936,64.03379600014067
