,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,472620919.46666664,480073820.0,5499227600.0,2927474400.0,677.7734,1066.6196,1388.9321,0.051482975,0.051364064,0.030725976,0.016661527,0.016668754,0.009974608
0,2,472490359.8,479954600.0,5498881000.0,2927206100.0,775.04364,1165.5856,1485.423,0.086274885,0.08608627,0.051496558,0.027054999,0.027057003,0.016204052
0,3,472403515.8666667,479878600.0,5498585600.0,2926995700.0,877.2445,1268.9902,1587.003,0.11863544,0.1183801,0.07081505,0.037023645,0.037023004,0.0221816
0,4,472321130.4,479844740.0,5498369500.0,2926851600.0,962.5501,1355.0426,1671.7231,0.14432696,0.14401135,0.086147375,0.04549844,0.04549205,0.027265022
0,5,472313448.06666666,479835400.0,5498246700.0,2926770000.0,1012.9408,1405.6577,1721.737,0.15919626,0.15883577,0.09501363,0.05112922,0.051116697,0.030644132
0,6,472302163.8666667,479830560.0,5498202600.0,2926739700.0,1026.5786,1419.3256,1735.2375,0.16327737,0.1628917,0.09743777,0.053670194,0.053651527,0.03217011
0,7,472288729.6666667,479825700.0,5498196500.0,2926732500.0,1022.43414,1415.1284,1731.0554,0.16220206,0.16180378,0.09678457,0.054572083,0.05454801,0.03271124
0,8,472289470.26666665,479821150.0,5498184000.0,2926722000.0,1021.3671,1414.0166,1729.9276,0.162011,0.16159621,0.09665806,0.055856913,0.055823218,0.033480506
0,9,472258563.6666667,479815900.0,5498164700.0,2926708500.0,1023.7048,1416.3114,1732.1768,0.16282076,0.16238368,0.097131625,0.057470817,0.057417616,0.034447625
0,10,472273524.1333333,479810370.0,5498154000.0,2926700300.0,1019.3929,1411.9146,1727.8104,0.16171435,0.16125675,0.09645912,0.05860901,0.05853188,0.035126496
0,11,472270884.3333333,479804670.0,5498137000.0,2926689300.0,1018.358,1410.8378,1726.7246,0.16155498,0.16107668,0.09635237,0.060253974,0.06016206,0.036111183
0,12,472293023.26666665,479799400.0,5498147300.0,2926694100.0,1004.0406,1396.3876,1712.4344,0.15755871,0.15706334,0.09395383,0.060881283,0.060773738,0.036482282
0,13,472247928.8666667,479792580.0,5498125300.0,2926677200.0,1003.7172,1395.9948,1712.041,0.15763095,0.15710452,0.093981326,0.06325359,0.063122645,0.037900038
0,14,472275863.4,479785250.0,5498116600.0,2926668000.0,996.226,1388.4142,1704.5448,0.15565717,0.15511191,0.092795596,0.06488261,0.06473023,0.03886955
0,15,472231515.73333335,479777280.0,5498096600.0,2926649900.0,993.194,1385.283,1701.4438,0.15498789,0.15441264,0.09238296,0.06733475,0.06715285,0.04032956
0,16,472271247.4,479769180.0,5498073000.0,2926634800.0,990.57025,1382.6335,1698.7646,0.15445623,0.15386555,0.09205966,0.06965441,0.06945026,0.04170631
0,17,472242378.8666667,479759520.0,5498036000.0,2926608400.0,995.98395,1388.1313,1704.1166,0.15627334,0.15567166,0.09314918,0.07240413,0.07217409,0.043339808
0,18,472247092.8,479751550.0,5498028500.0,2926601500.0,988.5905,1380.694,1696.7478,0.1543618,0.1537443,0.0920148,0.07375999,0.07349335,0.044137847
0,19,472244727.0,479743330.0,5497997300.0,2926578200.0,993.00275,1385.1364,1701.165,0.15586607,0.15522873,0.092920244,0.0762339,0.075935096,0.045607332
0,20,472174680.1333333,479734900.0,5497966000.0,2926557200.0,995.75525,1387.9052,1703.9124,0.15689187,0.15623118,0.09353617,0.0788783,0.07854904,0.047177672
0,21,472191157.06666666,479726140.0,5497937400.0,2926535400.0,994.7492,1386.8962,1702.9156,0.15680903,0.15612641,0.093484506,0.081615485,0.081256784,0.04879762
0,22,472197641.53333336,479717380.0,5497933300.0,2926529500.0,982.3397,1374.3971,1690.6036,0.15343675,0.15273567,0.09147953,0.08277696,0.08238688,0.049468204
0,23,472177888.06666666,479708260.0,5497904600.0,2926509300.0,981.7149,1373.7573,1690.0326,0.15348034,0.15276118,0.09152237,0.08476019,0.084332235,0.050629936
0,24,472203445.26666665,479698180.0,5497879000.0,2926489300.0,979.8753,1371.9304,1688.275,0.15318313,0.15245248,0.0913681,0.08659864,0.0861293,0.05170252
0,25,472174124.93333334,479688030.0,5497859600.0,2926479600.0,974.5763,1366.6116,1683.0912,0.15186517,0.15112622,0.09061164,0.08780939,0.0873047,0.05240674
0,26,472164644.6,479677220.0,5497817600.0,2926451500.0,980.16235,1372.2301,1688.6736,0.15364724,0.15288758,0.09169114,0.09078379,0.09024279,0.0541713
0,27,472142552.3333333,479666340.0,5497782300.0,2926423300.0,980.4334,1372.4255,1688.9722,0.15386985,0.15307808,0.09183138,0.093247086,0.09267564,0.055620074
0,28,472131589.93333334,479655940.0,5497761300.0,2926412800.0,972.151,1364.0383,1680.79,0.15164153,0.15082702,0.09052332,0.094231024,0.093622126,0.056187548
0,29,472084361.4,479644380.0,5497715000.0,2926384400.0,975.9931,1367.775,1684.595,0.15288393,0.15202612,0.09126997,0.097389266,0.096746296,0.058057014
0,30,472107724.2,479632300.0,5497673700.0,2926355500.0,978.12646,1369.7985,1686.7014,0.15359235,0.15269305,0.091703676,0.10038125,0.09970255,0.059830543
0,31,472074732.8,479620350.0,5497641000.0,2926335500.0,973.945,1365.4396,1682.5372,0.15243734,0.15149878,0.09102689,0.10243056,0.10172182,0.061037965
0,32,472094724.2,479608420.0,5497618000.0,2926325500.0,964.71545,1355.9734,1673.3674,0.14979917,0.14882408,0.08946457,0.10360227,0.10286522,0.061717518
0,33,472048051.3333333,479596000.0,5497539600.0,2926274300.0,982.6886,1373.9458,1691.2402,0.15527989,0.15426227,0.092750095,0.107689396,0.10692847,0.06414468
0,34,472026471.8666667,479583260.0,5497541000.0,2926272300.0,963.20215,1354.1381,1671.8749,0.14945515,0.14839879,0.08927401,0.10864206,0.10785884,0.064688034
0,35,472050308.6666667,479570900.0,5497513500.0,2926254000.0,957.1281,1347.8685,1665.9128,0.14785385,0.14675955,0.08833263,0.10989671,0.10908648,0.06541236
0,36,472028328.4,479557980.0,5497464300.0,2926218800.0,961.2999,1351.9291,1670.1158,0.14925656,0.14811304,0.08918316,0.11248471,0.111649536,0.06693141
0,37,472023496.6666667,479545020.0,5497412600.0,2926184400.0,966.1602,1356.7025,1675.0323,0.15088995,0.14970042,0.09017053,0.11516376,0.114311755,0.06851101
0,38,472011409.4,479531870.0,5497380000.0,2926165200.0,959.8806,1350.25,1668.8815,0.14918506,0.14794697,0.08916116,0.116361395,0.115490526,0.06920718
0,39,471991324.93333334,479518560.0,5497323500.0,2926127400.0,965.7825,1356.0709,1674.7678,0.15117784,0.14988752,0.09035244,0.119030975,0.11814484,0.070780076
0,40,471982938.8,479504420.0,5497292000.0,2926115000.0,955.0968,1345.2694,1664.2983,0.1479974,0.14668329,0.08845684,0.11998867,0.1190948,0.071328424
0,41,471995140.46666664,479489150.0,5497242000.0,2926087700.0,949.7007,1339.8484,1659.0459,0.14673536,0.14539339,0.08771382,0.120350204,0.119449764,0.07150567
0,42,471968572.0,479474880.0,5497207000.0,2926067200.0,941.4648,1331.4857,1651.0076,0.14418796,0.14279518,0.086193494,0.12149089,0.12057084,0.0721586
0,43,471937762.3333333,479459940.0,5497158700.0,2926021600.0,941.6116,1331.5038,1651.2773,0.14431082,0.14285347,0.08625128,0.12411459,0.12316218,0.07367295
0,44,471919774.6666667,479443550.0,5497080000.0,2925976300.0,950.5824,1340.4291,1660.3717,0.14734825,0.14583549,0.08807022,0.12699461,0.12602279,0.0753674
0,45,471927182.3333333,479427040.0,5497029000.0,2925949000.0,949.1234,1338.8973,1659.1088,0.1471067,0.14553998,0.08792941,0.1285801,0.12758212,0.0762933
0,46,471891238.6,479410270.0,5496988700.0,2925924600.0,941.7711,1331.461,1651.9407,0.14452784,0.14290194,0.08636699,0.13094524,0.12991866,0.07766519
0,47,471886272.6666667,479394500.0,5496948000.0,2925897500.0,935.27686,1324.8745,1645.6213,0.14273879,0.1410677,0.08530286,0.13158953,0.13053128,0.078014895
0,48,471870587.06666666,479376770.0,5496867300.0,2925843200.0,944.4726,1334.0682,1654.9043,0.14580798,0.1440796,0.08712834,0.13471833,0.13363174,0.07983872
0,49,471817309.4,479359000.0,5496798700.0,2925800000.0,947.90076,1337.4534,1658.4562,0.14647983,0.14468266,0.087511204,0.13851818,0.13739328,0.082065456
0,50,471857198.73333335,479343330.0,5496791000.0,2925787400.0,929.52795,1318.9333,1640.2587,0.14076641,0.13893777,0.0840878,0.13752766,0.13636047,0.08142038
