,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_rel_error_train,mean_rel_error_dev,mean_rel_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,228.93108622233072,70049.84528379228,68657.83790101385,70475.05512259298,223.32042919912934,224.22264165869356,220.25038475599885,0.8853253410850602,0.8619662471454035,0.8809687349024468,26.258741966803868,25.873805982589722,26.214597859621048,6.303772544602662,6.279219770841595,6.336308818047773
0,2,220.02825927734375,65197.69834108635,63846.2509272781,65666.76999043844,213.3285881859362,214.20835014477373,210.215737719208,0.8905895205102786,0.8487396934590086,0.88413184694437,37.17032167005539,36.65979031324387,37.11787941646576,8.627446002075438,8.590180408682265,8.688200768325597
0,3,209.49429829915366,59590.75242432878,58288.750286213166,60113.34505922377,201.75225482303898,202.60730432978272,198.5479591347277,0.9202339260006887,0.8557751297272285,0.909969872492578,50.54515913025538,49.87393710517883,50.4844211359024,11.400206261164815,11.349882603785485,11.49176013206403
0,4,197.39117940266928,53230.879784520555,51992.34859873546,53806.03766119142,188.67748495657244,189.51974482908844,185.3423587986529,0.9820962801773763,0.8895097371835801,0.967822419076984,66.94985726992289,66.08433526515961,66.87148337936401,14.718340677683587,14.649808403711626,14.83371541486745
0,5,183.8083953857422,46048.519373375944,44890.17300116052,46671.959962109475,173.96920285780232,174.91725979509948,170.48155561605097,1.0848489832733939,0.9587552200482542,1.066088247179742,87.53220728047688,86.42185829734802,87.42486808776856,18.878244241445234,18.79629591443942,19.030915220886964
0,6,168.56629435221353,38166.940040397814,37114.50777303321,38832.34103395498,157.88165686844786,159.07228120699526,154.27456749501823,1.245311048555666,1.0772073226676662,1.222252819908536,113.78009467887878,112.3431981906891,113.6377966632843,24.216566231701886,24.10655243636521,24.414809933641703
0,7,152.42212931315103,30270.212851575758,29352.564409678205,30929.77207689896,141.7535614158213,143.13366089907288,138.62997035184503,1.4842212934060541,1.261513646448945,1.460700179193144,146.9449248752594,145.11447629737853,146.74059308242798,30.888656598342568,30.756123275712095,31.159256904697255
0,8,136.96725463867188,23672.56054900548,22914.360098898986,24254.327313230377,128.61610432671506,130.0496747483313,126.32431707540154,1.8242223343912376,1.5341632288393863,1.8015628580422538,188.04113695780435,185.74785521316528,187.76999508476257,39.080155332426436,38.94242206814265,39.454415906236825
0,9,125.94232686360677,20438.294257550857,19855.093395047465,20835.860003298145,122.65387186923623,123.82494982615113,121.21080503430963,2.255279715950155,1.8874145321478386,2.2326858217508687,234.7711652247111,231.96866011428833,234.4245546836853,48.29575184641696,48.15947911698596,48.802106235897526
0,10,122.87753295898438,21307.21883155142,20855.93231167614,21469.135276705914,125.09253225563964,125.8892506455481,124.21126040998101,2.6392190361121246,2.2102162024339282,2.6146709929468988,275.7785358136495,272.47172552108765,275.35107803726197,57.002036812493344,56.846374170122246,57.598883357143436
