,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,104047480.0,103887180.0,11483470.0,795254.25,666.223,251.0478,435.36017,0.28232625,0.87633234,0.8363417,0.09092908,0.26632196,0.24536377
0,2,103942272.0,103781540.0,11438762.0,788733.94,734.3027,326.35583,512.299,0.45743474,1.4122313,1.3570256,0.140972,0.4166622,0.3835512
0,3,103844384.0,103701670.0,11417051.0,807068.06,809.82605,408.63245,594.5964,0.6289889,1.9385478,1.867405,0.19158253,0.56926703,0.52291834
0,4,103630432.0,103642104.0,11417727.0,850593.1,892.332,497.50598,681.71466,0.80311686,2.4730113,2.3853009,0.24568659,0.73118764,0.67222047
0,5,103678104.0,103604120.0,11440147.0,918437.25,978.2391,587.56604,769.96185,0.97525066,3.0014074,2.8970466,0.30250472,0.9009961,0.82969755
0,6,103747088.0,103586690.0,11476127.0,994151.5,1052.4075,663.1994,844.22174,1.1197937,3.4441159,3.326596,0.35186762,1.0488114,0.9671972
0,7,103446336.0,103581790.0,11525188.0,1081797.6,1124.7574,734.99603,915.1779,1.2568668,3.8627362,3.734157,0.40023223,1.1948267,1.1021606
0,8,103635912.0,103580140.0,11566198.0,1148409.0,1174.8959,783.3946,963.394,1.3487377,4.1417537,4.0077267,0.43471584,1.3001056,1.1992035
0,9,103614312.0,103574700.0,11586739.0,1180905.0,1198.1497,805.7536,985.59393,1.3911233,4.2688165,4.134205,0.4541667,1.3600072,1.2547859
0,10,103741592.0,103560770.0,11582852.0,1174430.0,1194.6522,801.601,981.9913,1.3844578,4.245243,4.1145954,0.45859593,1.3739631,1.2693739
0,11,103339744.0,103544280.0,11575483.0,1161773.9,1186.7114,793.19604,974.1111,1.3695995,4.195978,4.0709205,0.46121806,1.3822243,1.2786245
0,12,103487896.0,103523560.0,11558895.0,1133713.2,1167.8032,774.4933,955.6507,1.3346305,4.084852,3.9672365,0.45715886,1.3700986,1.2685491
0,13,103534120.0,103502620.0,11537833.0,1098696.8,1143.381,750.23334,931.34906,1.2886605,3.9404743,3.8305318,0.45007437,1.3490067,1.249788
0,14,103345088.0,103482650.0,11520731.0,1069657.6,1122.5708,729.04193,910.28265,1.2486736,3.8142812,3.7113934,0.44608384,1.3373717,1.2397802
0,15,103427536.0,103462904.0,11505204.0,1042334.56,1102.3192,708.18085,889.72174,1.2094713,3.6906488,3.594684,0.44262308,1.3275633,1.23131
0,16,103598688.0,103443850.0,11487461.0,1009848.3,1077.1274,682.21686,864.1361,1.1608857,3.5378962,3.4494522,0.43624777,1.3087615,1.2142414
0,17,103318536.0,103425016.0,11475379.0,986092.6,1057.9722,662.15814,844.48,1.1237065,3.4195127,3.3379996,0.43486655,1.3050838,1.2114594
0,18,103538840.0,103406690.0,11464585.0,963138.94,1038.795,641.7595,824.50555,1.0860724,3.2996664,3.2247,0.4341447,1.303433,1.2106066
0,19,103503272.0,103388390.0,11455237.0,941361.8,1020.02576,621.527,804.72626,1.0488292,3.1811547,3.11237,0.43353963,1.3017297,1.2098795
0,20,103382336.0,103367020.0,11451277.0,930218.3,1010.42865,610.391,794.0661,1.0290921,3.1154058,3.0516884,0.44136643,1.325148,1.232836
0,21,103483536.0,103344320.0,11448079.0,919725.7,1001.49615,599.76654,783.9494,1.0105538,3.0535614,2.9936817,0.44953355,1.349289,1.2565379
0,22,103174192.0,103315440.0,11452604.0,925577.8,1007.97107,605.00104,789.308,1.0216378,3.0810056,3.02464,0.47197667,1.4165182,1.32082
0,23,103080624.0,103283340.0,11464274.0,945733.7,1027.1772,623.32306,807.4263,1.0572222,3.1829815,3.1295464,0.50595295,1.5189257,1.4175099
0,24,103360112.0,103250470.0,11479219.0,969583.5,1048.5306,643.4246,827.35846,1.0962971,3.295061,3.244998,0.5429749,1.6307374,1.5225189
0,25,103501944.0,103217490.0,11489937.0,979894.06,1058.6803,651.7703,836.1728,1.1139463,3.3410015,3.2953577,0.5699833,1.7115159,1.5980083
0,26,103147944.0,103181940.0,11502689.0,992387.6,1070.3408,661.48627,846.35974,1.1343999,3.3952096,3.353497,0.59948075,1.799829,1.680583
0,27,103186120.0,103144776.0,11513587.0,998515.7,1076.87,665.9186,851.2918,1.1450307,3.4198408,3.381113,0.6255918,1.8772715,1.7537847
0,28,103394040.0,103107790.0,11510597.0,975907.5,1062.3539,649.20654,835.7692,1.1161398,3.3256845,3.2892525,0.6295541,1.8870882,1.7629448
0,29,103064584.0,103068056.0,11510679.0,958112.56,1050.7798,635.618,823.0584,1.0928156,3.2489047,3.2137182,0.63688767,1.9070277,1.781121
0,30,103075008.0,103022230.0,11516836.0,951081.6,1046.4747,628.9907,817.2455,1.0827054,3.2103257,3.1782367,0.65579367,1.9615686,1.8322749
0,31,103014224.0,102971304.0,11528704.0,950842.4,1046.9082,626.9311,815.86237,1.0813757,3.1967094,3.1685762,0.68315744,2.0407364,1.9077646
0,32,102997752.0,102916904.0,11545144.0,958602.5,1052.7152,629.9488,819.5578,1.0901343,3.2122247,3.1884263,0.71958184,2.147224,2.00959
0,33,102815920.0,102859656.0,11570408.0,978604.5,1066.2681,640.3201,830.57544,1.1131381,3.2697372,3.2493875,0.7688713,2.292388,2.1470091
0,34,102795720.0,102795096.0,11597647.0,996976.9,1077.5427,648.1404,839.0204,1.1314174,3.3119116,3.2950625,0.8194304,2.440855,2.2870688
0,35,102782976.0,102719970.0,11612968.0,989792.4,1072.3041,639.5956,831.5161,1.1187472,3.2623768,3.2473414,0.84949964,2.5280075,2.3673527
0,36,102592144.0,102638240.0,11627479.0,976642.9,1063.0708,627.26697,820.20416,1.098807,3.191501,3.1769443,0.8756251,2.6020389,2.4367068
0,37,102837120.0,102559010.0,11625912.0,933821.7,1034.9248,596.4916,790.8697,1.0432827,3.0170257,3.00091,0.87436146,2.593254,2.429593
0,38,102639448.0,102472820.0,11637408.0,911161.44,1019.00854,577.62787,772.9977,1.0106379,2.9099398,2.8925924,0.89126945,2.6397054,2.473562
0,39,102652120.0,102373864.0,11665669.0,909703.7,1016.32153,571.0303,767.08203,1.0026696,2.873838,2.8543262,0.9314827,2.7559054,2.5814147
0,40,102439752.0,102262280.0,11735276.0,962099.6,1044.7048,593.5298,789.5778,1.0526556,3.0040183,2.981946,1.0290053,3.0457582,2.8475516
0,41,102269568.0,102150090.0,11812777.0,1019564.6,1070.746,613.5082,809.37366,1.0979255,3.1200366,3.0950263,1.1260973,3.3329132,3.1146119
0,42,102309000.0,102024584.0,11838211.0,999393.8,1055.5492,593.2007,790.1937,1.0648987,3.0099664,2.9813836,1.1538568,3.410275,3.1920655
0,43,101718648.0,101887050.0,11879827.0,1000509.06,1050.9667,583.4915,781.4881,1.0524447,2.9625945,2.9283772,1.1980091,3.5389898,3.3162198
0,44,101962464.0,101741520.0,11902488.0,975507.8,1033.0552,561.5901,761.57495,1.0158612,2.8493643,2.8099499,1.2165234,3.5922394,3.371959
0,45,101728384.0,101584110.0,11941048.0,966555.06,1022.0414,546.2458,749.34796,0.99326944,2.7765598,2.7321856,1.2497945,3.6910968,3.4686627
0,46,101546632.0,101413620.0,12072120.0,1065476.8,1059.7284,577.0253,783.5173,1.0630147,2.966373,2.908647,1.3821914,4.092171,3.8356957
0,47,101237336.0,101224260.0,12155319.0,1106527.0,1070.1251,583.0962,792.9267,1.0844322,3.022109,2.9543352,1.4563203,4.316545,4.0487566
0,48,101201696.0,101021900.0,12122907.0,1021426.0,1030.3429,544.47626,756.77686,1.0152501,2.8273058,2.758735,1.417759,4.2009716,3.957554
0,49,100937792.0,100799610.0,12220667.0,1079423.8,1046.7867,557.5658,773.0144,1.0499146,2.9264438,2.8440566,1.5052954,4.464797,4.210331
0,50,100682960.0,100581900.0,12444771.0,1269853.8,1102.6802,605.9656,824.9805,1.156425,3.2240896,3.1167486,1.6936486,5.036508,4.74173
0,51,100604864.0,100326980.0,12422898.0,1189200.1,1065.2773,570.1543,792.29486,1.0924989,3.050874,2.9449759,1.6700383,4.9611,4.6958785
0,52,100491888.0,100081570.0,12441644.0,1151336.8,1039.5187,544.0122,770.3811,1.0476052,2.9328015,2.8267596,1.6795379,4.988407,4.7370677
